_id,OBJECTID,OID,Address,City,County,Zip,Year,Recipient,Approved Loan Amount,Recipient Type,Project Type,Project Status,Estimated Savings ($/yr),Annual Electric Savings (kWh),Lighting,HVAC,Solar,Battery Storage,EV Infrastructure,Other,Project Summary,Utility,Type of Utility,DAC,DDLat,DDLon,DDLat_D,DDLon_D,GlobalID,CreationDate,Creator,EditDate,Editor,x,y,x2,y2
1,1,1,"26577 CA-18, Rimforest, CA 92378",Rimforest,San Bernardino,92378,2020,Rim of the World Recreation and Parks,156776,Special District,ECAA-Reg,Completed,9615,58805,Yes,No,Yes,No,No,Yes,"Installation of LED Lighting, Networkable Thermostats, and Solar PV system.",PacifiCorp,IOU,No,34.22964500N,117.22375900W,34.229645,-117.223759,b24b3ec1-9c03-48e7-b288-f392bc5bd13a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:14:00 PM,SLocwood_CAEnergy,-117.223759,34.229645,-13049289.1608,4059679.5788
2,2,2,"3325 E Merced Falls Rd, Snelling, CA 95369",Snelling,Merced,95369,2020,Snelling Community Services District,220000,Special District,ECAA-Reg,Completed,13674,62157,No,No,Yes,No,No,Yes,"Replace Sewage lift pumps at the Headworks, and install 34.5 KWdc PV system.",San Diego Gas & Electric,IOU,No,37.52190600N,120.41906600W,37.521906,-120.419066,8b380be0-f4c4-48be-8301-e7b1049daf76,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:14:00 PM,SLocwood_CAEnergy,-120.419066,37.521906,-13404989.1089,4512105.5877
3,4,5,"3101 Center St, Placerville, CA 95667",Placerville,El Dorado,95667,2019,City of Placerville,784112,Local Government,ECAA-Reg,Completed,60017,320835.53,Yes,Yes,No,No,No,No,"Replacement of interior and exterior lighting, lighting controls, and HVAC units ",Merced Irrigation District,POU,Yes,38.72867800N,120.80262800W,38.728678,-120.802628,cfe61309-2d41-4459-8b52-ad4762a56c50,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:15:00 PM,SLocwood_CAEnergy,-120.802628,38.728678,-13447687.0354,4682881.2066
4,5,6,"250 N Ventura Rd, Port Hueneme, CA 93041",Port Hueneme,Ventura,93041,2019,City of Port Hueneme,840272,Local Government,ECAA-Reg,Completed,54618,376563,Yes,No,Yes,No,No,No,"Interior lighting, Exterior lighting, street lighting, Solar PV, 139.1kWdc Total",Pacific Gas & Electric Company,IOU,No,34.14990000N,119.19493800W,34.1499,-119.194938,7b5d38cc-3edb-4867-88e5-7d1866945d41,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:15:00 PM,SLocwood_CAEnergy,-119.194938,34.1499,-13268719.8033,4048947.7374
5,6,7,"11330 Bullis Rd, Lynwood, CA 90262",Lynwood,Los Angeles,90262,2019,City of Lynwood,1700207,Local Government,ECAA-Reg,Completed,140100,1314045,Yes,No,No,No,No,No,"Energy efficiency projects throughout Lynwood which include interior lighting, street lighting, pool pumps, transformers, and HVAC upgrades.",San Diego Gas & Electric,IOU,No,33.92631630N,118.19913000W,33.9263163,-118.19913,400c28c8-c7cb-4482-ba4b-7ac1ac85e498,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:15:00 PM,SLocwood_CAEnergy,-118.19913,33.9263163,-13157866.9638,4018912.3914
6,7,8,"352 5th St, Gustine, CA 95322",Gustine,Merced,95322,2019,City of Gustine,2249604,Local Government,ECAA-Reg,Completed,140320,877665,Yes,No,No,No,No,No,"Install various energy efficiency and renewable energy measures at its facilities, and adopting staff's determination.",Pacific Gas & Electric Company,IOU,No,37.25678200N,120.99951000W,37.256782,-120.99951,a064ad4e-d8c7-447c-ba23-02c150d0c5f7,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:15:00 PM,SLocwood_CAEnergy,-120.99951,37.256782,-13469603.8394,4474959.5818
7,8,9,"105 E Anapamu St, Santa Barbara, CA 93101",Santa Barbara,Santa Barbara,93101,2019,County of Santa Barbara,2736751,Local Government,ECAA-Reg,Completed,405708,1660851,No,No,Yes,No,No,No,Installation of two solar PV systems totaling 937 kW at the Betteravia Government Center (910 kW) and at Fire Station 12 (27 kW).,Pacific Gas & Electric Company,IOU,No,34.42520700N,119.70324400W,34.425207,-119.703244,6a088358-76fb-4068-8e6f-0f0c58285f10,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:15:00 PM,SLocwood_CAEnergy,-119.703244,34.425207,-13325304.1684,4086040.8437
8,10,12,"1600 Pacific Hwy, San Diego, CA 92101",San Diego,San Diego,92101,2018,County of San Diego,261392,Local Government,ECAA-Reg,Completed,75749,537226,Yes,Yes,No,No,No,No,Install demand controlled ventilation and more efficient interior lights and exterior lights,Pacific Gas & Electric Company,IOU,No,32.72196600N,117.17213100W,32.721966,-117.172131,9b1adbe9-b87d-4ab1-923e-90917c563564,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:16:00 PM,SLocwood_CAEnergy,-117.172131,32.721966,-13043541.9581,3858457.4827
9,11,13,"1 Main St, Rio Vista, CA 94571",Rio Vista,Solano,94571,2018,City of Rio Vista,422795,Local Government,ECAA-Reg,Completed,25938,213126,Yes,No,No,No,No,No,Install various energy efficiency measures at its facilities,Merced Irrigation District,POU,Yes,38.15491000N,121.69007900W,38.15491,-121.690079,3547510b-4eb4-4cdd-918a-6f0ee15004c4,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:16:00 PM,SLocwood_CAEnergy,-121.690079,38.15491,-13546477.6289,4601332.5727
10,12,15,"39707 Big Bear Blvd, Big Bear Lake, CA 92315",Big Bear Lake,San Bernardino,92315,2018,City of Big Bear Lake,1141000,Local Government,ECAA-Reg,Completed,136600,459000,No,No,Yes,No,No,No,Install 275 kW PV panels to pump water,Southern California Edison,IOU,No,34.23789500N,116.93555330W,34.237895,-116.9355533,556725d9-b873-4eb5-8feb-bb76eb7f0cd1,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:29:00 PM,SLocwood_CAEnergy,-116.9355533,34.237895,-13017206.249,4060790.4185
11,13,16,"550 Main St, Weed, CA 96094",Weed,Siskiyou,96094,2018,The City of Weed,1560277,Local Government,ECAA-Reg,Completed,96020,609712,Yes,Yes,No,No,No,Yes,"Install a fixed axis ground-mounted photovoltaic systems, reduction of window filtration, lighting, lighting controls, and HVAC upgrades in the city's municipal buildings",Pacific Gas & Electric Company,IOU,No,41.42744400N,122.38457400W,41.427444,-122.384574,2ef6a8ba-069f-4296-b5e6-ea7556adffdf,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:30:00 PM,SLocwood_CAEnergy,-122.384574,41.427444,-13623788.4586,5075595.4714
12,14,17,"22099 River View Dr, Cottonwood, CA 96022",Cottonwood,Tehama,96022,2018,Rio Alto Water District,1590800,Special District,ECAA-Reg,Completed,103930,617521,No,No,Yes,No,No,No,420 kW solar photovoltaic system located at three District-owned sties,Los Angeles Department of Water & Power,POU,Yes,40.35454300N,122.21260300W,40.354543,-122.212603,13209103-0de1-4e16-86aa-8e253495e611,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:30:00 PM,SLocwood_CAEnergy,-122.212603,40.354543,-13604644.7345,4917598.0546
13,15,18,"3600 M St, Merced, CA 95348",Merced,Merced,95348,2018,Merced Community College District ,1627600,College,ECAA-Reg,Completed,88006,668000,No,No,Yes,No,No,No,constuct a ground-mounted/parking lot canopy solar photovoltaic electric system at its Los Banos campus,San Diego Gas & Electric,IOU,No,37.33445700N,120.47426400W,37.334457,-120.474264,400666bb-c308-4548-8330-0e7cd795b3cb,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:30:00 PM,SLocwood_CAEnergy,-120.474264,37.334457,-13411133.7222,4485828.8811
14,16,19,"6412 Laurel Ave, Mountain Mesa, CA 93240",Mountain Mesa,Kern,93240,2018,Kern Valley Healthcare District,1918560,Hospital/Public Care,ECAA-Reg,Completed,125570,740444,Yes,Yes,No,No,No,No,lighting and HVAC upgrades,Southern California Edison,IOU,No,35.63493900N,118.40698900W,35.634939,-118.406989,248c54fe-0f6a-4b5a-affc-a3fe4526549b,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:30:00 PM,SLocwood_CAEnergy,-118.406989,35.634939,-13181005.7218,4250505.112
