ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
93605,Fresno County,1,2015,Residential,61299.0,0.061299
93629,Fresno County,1,2015,Residential,238667.0,0.238667
93629,Fresno County,1,2015,Industrial,161803646.0,161.803646
93605,Fresno County,1,2016,Residential,70050.0,0.07005
93629,Fresno County,1,2016,Residential,298590.0,0.29859
93629,Fresno County,1,2016,Industrial,85564466.0,85.564466
93605,Fresno County,1,2017,Residential,55451.0,0.055451
93629,Fresno County,1,2017,Residential,255613.0,0.255613
93629,Fresno County,1,2017,Industrial,80214838.0,80.214838
93691,Fresno County,1,2017,Residential,1819304.0,1.819304
93714,Fresno County,1,2017,Commercial,470558.0,0.470558
93605,Fresno County,1,2018,Residential,54083.0,0.054083
93629,Fresno County,1,2018,Residential,176561.0,0.176561
93629,Fresno County,1,2018,Industrial,77565882.0,77.565882
93691,Fresno County,1,2018,Residential,1507698.0,1.507698
93714,Fresno County,1,2018,Commercial,444852.0,0.444852
93605,Fresno County,1,2019,Residential,52833.0,0.052833
93629,Fresno County,1,2019,Residential,232660.0,0.23266
93629,Fresno County,1,2019,Industrial,103409816.0,103.409816
93691,Fresno County,1,2019,Residential,1811956.0,1.811956
93714,Fresno County,1,2019,Commercial,840616.0,0.840616
93605,Fresno County,1,2020,Residential,50616.0,0.050616
93629,Fresno County,1,2020,Residential,239708.0,0.239708
93629,Fresno County,1,2020,Industrial,42598630.0,42.59863
93691,Fresno County,1,2020,Residential,1951054.0,1.951054
93714,Fresno County,1,2020,Commercial,502041.0,0.502041
93629,Fresno County,1,2021,Residential,233494.0,0.233494
93629,Fresno County,1,2021,Commercial,103579.0,0.103579
93629,Fresno County,1,2021,Industrial,70472389.0,70.472389
93691,Fresno County,1,2021,Residential,1854930.0,1.85493
93634,Fresno County,1,2022,Residential,296902.0,0.296902
93634,Fresno County,1,2022,Industrial,73608149.0,73.608149
93634,Fresno County,1,2023,Residential,267725.0,0.267725
93634,Fresno County,1,2023,Industrial,90317425.0,90.317425
93634,Fresno County,1,2024,Residential,246714.0,0.246714
93634,Fresno County,1,2024,Industrial,109972173.0,109.972173
93605,Fresno County,2,2015,Residential,46723.0,0.046723
93629,Fresno County,2,2015,Residential,130457.0,0.130457
93629,Fresno County,2,2015,Industrial,102701692.0,102.701692
93605,Fresno County,2,2016,Residential,51908.0,0.051908
93629,Fresno County,2,2016,Residential,192947.0,0.192947
93629,Fresno County,2,2016,Industrial,79490598.0,79.490598
93605,Fresno County,2,2017,Residential,51932.0,0.051932
93629,Fresno County,2,2017,Residential,182043.0,0.182043
93629,Fresno County,2,2017,Commercial,117873.0,0.117873
93629,Fresno County,2,2017,Industrial,131337763.0,131.337763
93691,Fresno County,2,2017,Residential,1551210.0,1.55121
93714,Fresno County,2,2017,Commercial,225823.0,0.225823
93605,Fresno County,2,2018,Residential,45655.0,0.045655
93629,Fresno County,2,2018,Residential,145310.0,0.14531
93629,Fresno County,2,2018,Industrial,124946963.0,124.946963
93691,Fresno County,2,2018,Residential,1166372.0,1.166372
93714,Fresno County,2,2018,Commercial,389871.0,0.389871
93605,Fresno County,2,2019,Residential,48097.0,0.048097
93629,Fresno County,2,2019,Residential,216496.0,0.216496
93629,Fresno County,2,2019,Commercial,143199.0,0.143199
93629,Fresno County,2,2019,Industrial,142552755.0,142.552755
93691,Fresno County,2,2019,Residential,1596058.0,1.596058
93714,Fresno County,2,2019,Commercial,245816.0,0.245816
93605,Fresno County,2,2020,Residential,45982.0,0.045982
93629,Fresno County,2,2020,Residential,200729.0,0.200729
93629,Fresno County,2,2020,Industrial,149607540.0,149.60754
93691,Fresno County,2,2020,Residential,1395314.0,1.395314
93714,Fresno County,2,2020,Commercial,780609.0,0.780609
93629,Fresno County,2,2021,Residential,221750.0,0.22175
93629,Fresno County,2,2021,Commercial,112406.0,0.112406
93629,Fresno County,2,2021,Industrial,103482173.0,103.482173
93691,Fresno County,2,2021,Residential,1690630.0,1.69063
93634,Fresno County,2,2022,Residential,195747.0,0.195747
93634,Fresno County,2,2022,Industrial,150723353.0,150.723353
93634,Fresno County,2,2023,Residential,234591.0,0.234591
93634,Fresno County,2,2023,Industrial,83443547.0,83.443547
93634,Fresno County,2,2024,Residential,208182.0,0.208182
93634,Fresno County,2,2024,Industrial,120175668.0,120.175668
93605,Fresno County,3,2015,Residential,48524.0,0.048524
93629,Fresno County,3,2015,Residential,126166.0,0.126166
93629,Fresno County,3,2015,Industrial,95062060.0,95.06206
93605,Fresno County,3,2016,Residential,46987.0,0.046987
93629,Fresno County,3,2016,Residential,154175.0,0.154175
93629,Fresno County,3,2016,Industrial,98914158.0,98.914158
93605,Fresno County,3,2017,Residential,53284.0,0.053284
93629,Fresno County,3,2017,Residential,203024.0,0.203024
93629,Fresno County,3,2017,Commercial,110729.0,0.110729
93629,Fresno County,3,2017,Industrial,80157622.0,80.157622
93691,Fresno County,3,2017,Residential,1434436.0,1.434436
93714,Fresno County,3,2017,Commercial,215195.0,0.215195
93605,Fresno County,3,2018,Residential,53898.0,0.053898
93629,Fresno County,3,2018,Residential,210572.0,0.210572
93629,Fresno County,3,2018,Industrial,118332659.0,118.332659
93691,Fresno County,3,2018,Residential,1454946.0,1.454946
93714,Fresno County,3,2018,Commercial,428153.0,0.428153
93605,Fresno County,3,2019,Residential,56518.0,0.056518
93629,Fresno County,3,2019,Residential,234875.0,0.234875
93629,Fresno County,3,2019,Commercial,138216.0,0.138216
93691,Fresno County,3,2019,Residential,1661212.0,1.661212
93714,Fresno County,3,2019,Commercial,235336.0,0.235336
93605,Fresno County,3,2020,Residential,40595.0,0.040595
93629,Fresno County,3,2020,Residential,155274.0,0.155274
93629,Fresno County,3,2020,Industrial,90628440.0,90.62844
93691,Fresno County,3,2020,Residential,1232724.0,1.232724
93714,Fresno County,3,2020,Commercial,680877.0,0.680877
93629,Fresno County,3,2021,Residential,198502.0,0.198502
93629,Fresno County,3,2021,Commercial,89277.0,0.089277
93691,Fresno County,3,2021,Residential,1685494.0,1.685494
93634,Fresno County,3,2022,Residential,212301.0,0.212301
93634,Fresno County,3,2022,Industrial,55408682.0,55.408682
93634,Fresno County,3,2023,Residential,238857.0,0.238857
93634,Fresno County,3,2024,Residential,223435.0,0.223435
93605,Fresno County,4,2015,Residential,46791.0,0.046791
93629,Fresno County,4,2015,Residential,120193.0,0.120193
93629,Fresno County,4,2015,Industrial,172915159.0,172.915159
93605,Fresno County,4,2016,Residential,47664.0,0.047664
93629,Fresno County,4,2016,Residential,139519.0,0.139519
93629,Fresno County,4,2016,Industrial,81021835.0,81.021835
93605,Fresno County,4,2017,Residential,44763.0,0.044763
93629,Fresno County,4,2017,Residential,151759.0,0.151759
93629,Fresno County,4,2017,Industrial,108155724.0,108.155724
93691,Fresno County,4,2017,Residential,1070500.0,1.0705
