ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
92266,Imperial County,1,2015,Residential,147229.0,0.147229
92266,Imperial County,1,2016,Residential,142703.0,0.142703
92266,Imperial County,1,2017,Residential,135646.0,0.135646
92266,Imperial County,1,2018,Residential,138794.0,0.138794
92266,Imperial County,1,2019,Residential,154926.0,0.154926
92266,Imperial County,1,2020,Residential,138623.0,0.138623
92266,Imperial County,1,2021,Residential,151504.0,0.151504
92266,Imperial County,1,2022,Residential,119563.0,0.119563
92266,Imperial County,1,2023,Residential,107763.0,0.107763
92266,Imperial County,1,2024,Residential,106481.0,0.106481
92266,Imperial County,2,2015,Residential,101314.0,0.101314
92266,Imperial County,2,2016,Residential,119770.0,0.11977
92266,Imperial County,2,2017,Residential,124163.0,0.124163
92266,Imperial County,2,2018,Residential,117001.0,0.117001
92266,Imperial County,2,2019,Residential,122469.0,0.122469
92266,Imperial County,2,2020,Residential,111221.0,0.111221
92266,Imperial County,2,2021,Residential,124368.0,0.124368
92266,Imperial County,2,2022,Residential,103582.0,0.103582
92266,Imperial County,2,2023,Residential,104423.0,0.104423
92266,Imperial County,2,2024,Residential,95438.0,0.095438
92266,Imperial County,3,2015,Residential,100669.0,0.100669
92266,Imperial County,3,2016,Residential,105184.0,0.105184
92266,Imperial County,3,2017,Residential,101166.0,0.101166
92266,Imperial County,3,2018,Residential,109625.0,0.109625
92266,Imperial County,3,2019,Residential,108177.0,0.108177
92266,Imperial County,3,2020,Residential,99050.0,0.09905
92266,Imperial County,3,2021,Residential,111720.0,0.11172
92266,Imperial County,3,2022,Residential,94874.0,0.094874
92266,Imperial County,3,2023,Residential,86521.0,0.086521
92266,Imperial County,3,2024,Residential,72699.0,0.072699
92266,Imperial County,4,2015,Residential,110617.0,0.110617
92266,Imperial County,4,2016,Residential,109350.0,0.10935
92266,Imperial County,4,2017,Residential,109803.0,0.109803
92266,Imperial County,4,2018,Residential,117932.0,0.117932
92266,Imperial County,4,2019,Residential,95356.0,0.095356
92266,Imperial County,4,2020,Residential,108332.0,0.108332
92266,Imperial County,4,2021,Residential,100421.0,0.100421
92266,Imperial County,4,2022,Residential,85141.0,0.085141
92266,Imperial County,4,2023,Residential,73807.0,0.073807
92266,Imperial County,4,2024,Residential,74370.0,0.07437
92266,Imperial County,5,2015,Residential,127893.0,0.127893
92266,Imperial County,5,2016,Residential,120971.0,0.120971
92266,Imperial County,5,2017,Residential,137394.0,0.137394
92266,Imperial County,5,2018,Residential,146894.0,0.146894
92266,Imperial County,5,2019,Residential,133753.0,0.133753
92266,Imperial County,5,2020,Residential,187512.0,0.187512
92266,Imperial County,5,2021,Residential,122192.0,0.122192
92266,Imperial County,5,2022,Residential,111113.0,0.111113
92266,Imperial County,5,2023,Residential,102420.0,0.10242
92266,Imperial County,5,2024,Residential,94350.0,0.09435
92266,Imperial County,6,2015,Residential,168497.0,0.168497
92266,Imperial County,6,2016,Residential,208549.0,0.208549
92266,Imperial County,6,2017,Residential,189209.0,0.189209
92266,Imperial County,6,2018,Residential,202446.0,0.202446
92266,Imperial County,6,2019,Residential,151070.0,0.15107
92266,Imperial County,6,2020,Residential,238763.0,0.238763
92266,Imperial County,6,2021,Residential,197510.0,0.19751
92266,Imperial County,6,2022,Residential,191446.0,0.191446
92266,Imperial County,6,2023,Residential,163837.0,0.163837
92266,Imperial County,6,2024,Residential,165015.0,0.165015
92266,Imperial County,7,2015,Residential,265615.0,0.265615
92266,Imperial County,7,2016,Residential,284528.0,0.284528
92266,Imperial County,7,2017,Residential,283801.0,0.283801
92266,Imperial County,7,2018,Residential,267116.0,0.267116
92266,Imperial County,7,2019,Residential,256870.0,0.25687
92266,Imperial County,7,2020,Residential,299497.0,0.299497
92266,Imperial County,7,2021,Residential,280645.0,0.280645
92266,Imperial County,7,2022,Residential,266888.0,0.266888
92266,Imperial County,7,2023,Residential,224287.0,0.224287
92266,Imperial County,7,2024,Residential,277276.0,0.277276
