ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
92328,Inyo County,1,2015,Residential,46915.0,0.046915
92328,Inyo County,1,2015,Commercial,450763.0,0.450763
92389,Inyo County,1,2015,Residential,117402.0,0.117402
92389,Inyo County,1,2015,Commercial,159393.0,0.159393
93513,Inyo County,1,2015,Residential,173787.0,0.173787
93514,Inyo County,1,2015,Residential,3516529.0,3.516529
93514,Inyo County,1,2015,Commercial,2175371.0,2.175371
93514,Inyo County,1,2015,Agricultural,662045.0,0.662045
92328,Inyo County,1,2016,Residential,50897.0,0.050897
92389,Inyo County,1,2016,Residential,114687.0,0.114687
93513,Inyo County,1,2016,Residential,197815.0,0.197815
93514,Inyo County,1,2016,Residential,3800848.0,3.800848
93514,Inyo County,1,2016,Commercial,2334825.0,2.334825
92328,Inyo County,1,2017,Residential,52435.0,0.052435
92389,Inyo County,1,2017,Residential,98048.0,0.098048
92389,Inyo County,1,2017,Commercial,177445.0,0.177445
93513,Inyo County,1,2017,Residential,95038.0,0.095038
93514,Inyo County,1,2017,Residential,3506061.0,3.506061
93514,Inyo County,1,2017,Commercial,2035044.0,2.035044
93514,Inyo County,1,2017,Agricultural,610738.0,0.610738
93545,Inyo County,1,2017,Commercial,75559.0,0.075559
92328,Inyo County,1,2018,Residential,43288.0,0.043288
92389,Inyo County,1,2018,Residential,109526.0,0.109526
93513,Inyo County,1,2018,Residential,166728.0,0.166728
93514,Inyo County,1,2018,Residential,3332378.0,3.332378
93514,Inyo County,1,2018,Commercial,2059613.0,2.059613
93514,Inyo County,1,2018,Agricultural,713302.0,0.713302
92328,Inyo County,1,2019,Residential,41331.0,0.041331
92389,Inyo County,1,2019,Residential,102038.0,0.102038
93513,Inyo County,1,2019,Residential,169549.0,0.169549
93514,Inyo County,1,2019,Residential,3503959.0,3.503959
93514,Inyo County,1,2019,Commercial,2081294.0,2.081294
93514,Inyo County,1,2019,Agricultural,589276.0,0.589276
92328,Inyo County,1,2020,Residential,42738.0,0.042738
92389,Inyo County,1,2020,Residential,114915.0,0.114915
93513,Inyo County,1,2020,Residential,170887.0,0.170887
93513,Inyo County,1,2020,Commercial,31124.0,0.031124
93514,Inyo County,1,2020,Residential,3573034.0,3.573034
93514,Inyo County,1,2020,Commercial,2081784.0,2.081784
92328,Inyo County,1,2021,Residential,42333.0,0.042333
92389,Inyo County,1,2021,Residential,107236.0,0.107236
93513,Inyo County,1,2021,Residential,192018.0,0.192018
93514,Inyo County,1,2021,Residential,3577281.0,3.577281
93514,Inyo County,1,2021,Commercial,2130583.0,2.130583
93514,Inyo County,1,2021,Agricultural,736431.0,0.736431
93545,Inyo County,1,2021,Commercial,88083.0,0.088083
92328,Inyo County,1,2022,Residential,37832.0,0.037832
92328,Inyo County,1,2022,Commercial,486952.0,0.486952
92389,Inyo County,1,2022,Residential,116871.0,0.116871
93513,Inyo County,1,2022,Residential,251089.0,0.251089
93514,Inyo County,1,2022,Residential,3795062.0,3.795062
93514,Inyo County,1,2022,Commercial,2501557.0,2.501557
92328,Inyo County,1,2023,Residential,35833.0,0.035833
92389,Inyo County,1,2023,Residential,108471.0,0.108471
93513,Inyo County,1,2023,Residential,264575.0,0.264575
93514,Inyo County,1,2023,Residential,3598951.0,3.598951
93514,Inyo County,1,2023,Commercial,2476862.0,2.476862
92328,Inyo County,1,2024,Residential,33281.0,0.033281
92389,Inyo County,1,2024,Residential,90950.0,0.09095
93513,Inyo County,1,2024,Residential,238366.0,0.238366
93514,Inyo County,1,2024,Residential,3491502.0,3.491502
93514,Inyo County,1,2024,Commercial,3801094.0,3.801094
92328,Inyo County,2,2015,Residential,32384.0,0.032384
92389,Inyo County,2,2015,Residential,91280.0,0.09128
92389,Inyo County,2,2015,Commercial,132719.0,0.132719
93513,Inyo County,2,2015,Residential,162444.0,0.162444
93514,Inyo County,2,2015,Residential,2719315.0,2.719315
93514,Inyo County,2,2015,Commercial,1969987.0,1.969987
93514,Inyo County,2,2015,Agricultural,691310.0,0.69131
92328,Inyo County,2,2016,Residential,34586.0,0.034586
92389,Inyo County,2,2016,Residential,107354.0,0.107354
93513,Inyo County,2,2016,Residential,153717.0,0.153717
93514,Inyo County,2,2016,Residential,3032392.0,3.032392
93514,Inyo County,2,2016,Commercial,2015231.0,2.015231
92328,Inyo County,2,2017,Residential,37923.0,0.037923
92389,Inyo County,2,2017,Residential,83691.0,0.083691
92389,Inyo County,2,2017,Commercial,165978.0,0.165978
93513,Inyo County,2,2017,Residential,84293.0,0.084293
93514,Inyo County,2,2017,Residential,3369048.0,3.369048
93514,Inyo County,2,2017,Commercial,2331831.0,2.331831
93514,Inyo County,2,2017,Agricultural,508106.0,0.508106
92328,Inyo County,2,2018,Residential,32858.0,0.032858
92389,Inyo County,2,2018,Residential,98747.0,0.098747
93513,Inyo County,2,2018,Residential,147844.0,0.147844
93514,Inyo County,2,2018,Residential,2867526.0,2.867526
93514,Inyo County,2,2018,Commercial,2186744.0,2.186744
92328,Inyo County,2,2019,Residential,35656.0,0.035656
92389,Inyo County,2,2019,Residential,87346.0,0.087346
93513,Inyo County,2,2019,Residential,157200.0,0.1572
93514,Inyo County,2,2019,Residential,3330113.0,3.330113
93514,Inyo County,2,2019,Commercial,2421521.0,2.421521
92328,Inyo County,2,2020,Residential,34748.0,0.034748
92389,Inyo County,2,2020,Residential,95824.0,0.095824
93513,Inyo County,2,2020,Residential,158209.0,0.158209
93514,Inyo County,2,2020,Residential,2968747.0,2.968747
93514,Inyo County,2,2020,Commercial,2295808.0,2.295808
92328,Inyo County,2,2021,Residential,32347.0,0.032347
92389,Inyo County,2,2021,Residential,95374.0,0.095374
93513,Inyo County,2,2021,Residential,160925.0,0.160925
93514,Inyo County,2,2021,Residential,3174437.0,3.174437
93514,Inyo County,2,2021,Commercial,1947130.0,1.94713
93514,Inyo County,2,2021,Agricultural,715079.0,0.715079
92328,Inyo County,2,2022,Residential,27471.0,0.027471
92389,Inyo County,2,2022,Residential,83078.0,0.083078
93514,Inyo County,2,2022,Residential,2591796.0,2.591796
93514,Inyo County,2,2022,Commercial,2037044.0,2.037044
92328,Inyo County,2,2023,Residential,26953.0,0.026953
92389,Inyo County,2,2023,Residential,98118.0,0.098118
93513,Inyo County,2,2023,Residential,84645.0,0.084645
93514,Inyo County,2,2023,Residential,2924539.0,2.924539
93514,Inyo County,2,2023,Commercial,2147515.0,2.147515
92328,Inyo County,2,2024,Residential,31759.0,0.031759
92389,Inyo County,2,2024,Residential,88462.0,0.088462
93513,Inyo County,2,2024,Residential,136503.0,0.136503
93514,Inyo County,2,2024,Residential,2667396.0,2.667396
93514,Inyo County,2,2024,Commercial,2560923.0,2.560923
92328,Inyo County,3,2015,Residential,30386.0,0.030386
92389,Inyo County,3,2015,Residential,59723.0,0.059723
92389,Inyo County,3,2015,Commercial,111129.0,0.111129
93513,Inyo County,3,2015,Residential,65986.0,0.065986
93514,Inyo County,3,2015,Residential,2421077.0,2.421077
93514,Inyo County,3,2015,Commercial,1694568.0,1.694568
93514,Inyo County,3,2015,Agricultural,1339779.0,1.339779
92328,Inyo County,3,2016,Residential,32505.0,0.032505
92389,Inyo County,3,2016,Residential,76182.0,0.076182
92389,Inyo County,3,2016,Commercial,128120.0,0.12812
93513,Inyo County,3,2016,Residential,139047.0,0.139047
93514,Inyo County,3,2016,Residential,2526707.0,2.526707
93514,Inyo County,3,2016,Commercial,1637583.0,1.637583
93514,Inyo County,3,2016,Agricultural,713929.0,0.713929
92328,Inyo County,3,2017,Residential,36713.0,0.036713
92389,Inyo County,3,2017,Residential,64860.0,0.06486
93513,Inyo County,3,2017,Residential,71678.0,0.071678
93514,Inyo County,3,2017,Residential,2785621.0,2.785621
93514,Inyo County,3,2017,Commercial,1866014.0,1.866014
93514,Inyo County,3,2017,Agricultural,615941.0,0.615941
92328,Inyo County,3,2018,Residential,37379.0,0.037379
92389,Inyo County,3,2018,Residential,94045.0,0.094045
93513,Inyo County,3,2018,Residential,145180.0,0.14518
93514,Inyo County,3,2018,Residential,2993647.0,2.993647
93514,Inyo County,3,2018,Commercial,2105593.0,2.105593
93514,Inyo County,3,2018,Agricultural,669274.0,0.669274
93545,Inyo County,3,2018,Commercial,65680.0,0.06568
92328,Inyo County,3,2019,Residential,35437.0,0.035437
92389,Inyo County,3,2019,Residential,72351.0,0.072351
93513,Inyo County,3,2019,Residential,157673.0,0.157673
93514,Inyo County,3,2019,Residential,3058310.0,3.05831
93514,Inyo County,3,2019,Commercial,1980395.0,1.980395
92328,Inyo County,3,2020,Residential,29080.0,0.02908
92328,Inyo County,3,2020,Agricultural,817025.0,0.817025
92389,Inyo County,3,2020,Residential,66164.0,0.066164
93513,Inyo County,3,2020,Residential,144475.0,0.144475
93514,Inyo County,3,2020,Residential,2695749.0,2.695749
93514,Inyo County,3,2020,Commercial,1790067.0,1.790067
93514,Inyo County,3,2020,Agricultural,689090.0,0.68909
92328,Inyo County,3,2021,Residential,29586.0,0.029586
92328,Inyo County,3,2021,Commercial,916769.0,0.916769
92389,Inyo County,3,2021,Residential,63058.0,0.063058
93513,Inyo County,3,2021,Residential,77607.0,0.077607
93514,Inyo County,3,2021,Residential,2707699.0,2.707699
93514,Inyo County,3,2021,Commercial,1709016.0,1.709016
93514,Inyo County,3,2021,Agricultural,770766.0,0.770766
92328,Inyo County,3,2022,Residential,25425.0,0.025425
92389,Inyo County,3,2022,Residential,100194.0,0.100194
92389,Inyo County,3,2022,Commercial,164077.0,0.164077
93513,Inyo County,3,2022,Residential,255482.0,0.255482
93514,Inyo County,3,2022,Residential,2679967.0,2.679967
93514,Inyo County,3,2022,Commercial,2210876.0,2.210876
93514,Inyo County,3,2022,Agricultural,909568.0,0.909568
92328,Inyo County,3,2023,Residential,23960.0,0.02396
92389,Inyo County,3,2023,Residential,83079.0,0.083079
92389,Inyo County,3,2023,Commercial,729804.0,0.729804
93513,Inyo County,3,2023,Residential,215518.0,0.215518
93514,Inyo County,3,2023,Residential,3146913.0,3.146913
93514,Inyo County,3,2023,Commercial,1880336.0,1.880336
92328,Inyo County,3,2024,Residential,27431.0,0.027431
92389,Inyo County,3,2024,Residential,74441.0,0.074441
93513,Inyo County,3,2024,Residential,68874.0,0.068874
93514,Inyo County,3,2024,Residential,2289563.0,2.289563
93514,Inyo County,3,2024,Commercial,2797924.0,2.797924
92328,Inyo County,4,2015,Residential,44708.0,0.044708
92389,Inyo County,4,2015,Residential,67096.0,0.067096
92389,Inyo County,4,2015,Commercial,109401.0,0.109401
93513,Inyo County,4,2015,Residential,125776.0,0.125776
93513,Inyo County,4,2015,Commercial,17868.0,0.017868
93514,Inyo County,4,2015,Residential,2308443.0,2.308443
93514,Inyo County,4,2015,Commercial,2052835.0,2.052835
93514,Inyo County,4,2015,Agricultural,1850367.0,1.850367
92328,Inyo County,4,2016,Residential,39857.0,0.039857
92389,Inyo County,4,2016,Residential,71124.0,0.071124
92389,Inyo County,4,2016,Commercial,118780.0,0.11878
93513,Inyo County,4,2016,Residential,136876.0,0.136876
93514,Inyo County,4,2016,Residential,2318560.0,2.31856
93514,Inyo County,4,2016,Commercial,2011514.0,2.011514
93514,Inyo County,4,2016,Agricultural,1847871.0,1.847871
92328,Inyo County,4,2017,Residential,39117.0,0.039117
92389,Inyo County,4,2017,Residential,76075.0,0.076075
92389,Inyo County,4,2017,Commercial,124544.0,0.124544
93513,Inyo County,4,2017,Residential,128895.0,0.128895
93514,Inyo County,4,2017,Residential,2313200.0,2.3132
93514,Inyo County,4,2017,Commercial,1889212.0,1.889212
93514,Inyo County,4,2017,Agricultural,1533522.0,1.533522
92328,Inyo County,4,2018,Residential,44177.0,0.044177
92389,Inyo County,4,2018,Residential,79867.0,0.079867
92389,Inyo County,4,2018,Commercial,158181.0,0.158181
93513,Inyo County,4,2018,Residential,127493.0,0.127493
93514,Inyo County,4,2018,Residential,2450978.0,2.450978
93514,Inyo County,4,2018,Commercial,2109963.0,2.109963
93514,Inyo County,4,2018,Agricultural,1752334.0,1.752334
92328,Inyo County,4,2019,Residential,34913.0,0.034913
92389,Inyo County,4,2019,Residential,66538.0,0.066538
93513,Inyo County,4,2019,Residential,128600.0,0.1286
93514,Inyo County,4,2019,Residential,2414693.0,2.414693
93514,Inyo County,4,2019,Commercial,1952144.0,1.952144
93514,Inyo County,4,2019,Agricultural,1376880.0,1.37688
92328,Inyo County,4,2020,Residential,32056.0,0.032056
92389,Inyo County,4,2020,Residential,77913.0,0.077913
92389,Inyo County,4,2020,Commercial,115815.0,0.115815
93513,Inyo County,4,2020,Residential,135456.0,0.135456
93514,Inyo County,4,2020,Residential,2657178.0,2.657178
93514,Inyo County,4,2020,Commercial,1742240.0,1.74224
93514,Inyo County,4,2020,Agricultural,1419435.0,1.419435
92328,Inyo County,4,2021,Residential,31981.0,0.031981
92389,Inyo County,4,2021,Residential,79074.0,0.079074
93513,Inyo County,4,2021,Residential,119528.0,0.119528
93514,Inyo County,4,2021,Residential,2095126.0,2.095126
93514,Inyo County,4,2021,Commercial,1935044.0,1.935044
93514,Inyo County,4,2021,Agricultural,1848080.0,1.84808
92328,Inyo County,4,2022,Residential,33929.0,0.033929
92389,Inyo County,4,2022,Residential,48992.0,0.048992
93514,Inyo County,4,2022,Residential,1711508.0,1.711508
93514,Inyo County,4,2022,Commercial,1924544.0,1.924544
93514,Inyo County,4,2022,Agricultural,1953947.0,1.953947
93542,Inyo County,4,2022,Commercial,135938.0,0.135938
92328,Inyo County,4,2023,Residential,19934.0,0.019934
92389,Inyo County,4,2023,Residential,67570.0,0.06757
93513,Inyo County,4,2023,Residential,109484.0,0.109484
93513,Inyo County,4,2023,Commercial,26705.0,0.026705
93514,Inyo County,4,2023,Residential,2195661.0,2.195661
93514,Inyo County,4,2023,Commercial,2011624.0,2.011624
92328,Inyo County,4,2024,Residential,21604.0,0.021604
92389,Inyo County,4,2024,Residential,63535.0,0.063535
93513,Inyo County,4,2024,Residential,129785.0,0.129785
93514,Inyo County,4,2024,Residential,2011428.0,2.011428
93514,Inyo County,4,2024,Commercial,2872686.0,2.872686
93514,Inyo County,4,2024,Agricultural,819587.0,0.819587
92328,Inyo County,5,2015,Residential,43107.0,0.043107
92389,Inyo County,5,2015,Residential,67577.0,0.067577
92389,Inyo County,5,2015,Commercial,114253.0,0.114253
93513,Inyo County,5,2015,Residential,137746.0,0.137746
93514,Inyo County,5,2015,Residential,2245571.0,2.245571
93514,Inyo County,5,2015,Commercial,2115055.0,2.115055
93514,Inyo County,5,2015,Agricultural,1458797.0,1.458797
92328,Inyo County,5,2016,Residential,38105.0,0.038105
92328,Inyo County,5,2016,Commercial,1158861.0,1.158861
92389,Inyo County,5,2016,Residential,72806.0,0.072806
92389,Inyo County,5,2016,Commercial,115298.0,0.115298
93513,Inyo County,5,2016,Residential,125344.0,0.125344
93514,Inyo County,5,2016,Residential,2169789.0,2.169789
93514,Inyo County,5,2016,Commercial,2012628.0,2.012628
93514,Inyo County,5,2016,Agricultural,1076228.0,1.076228
92328,Inyo County,5,2017,Residential,45487.0,0.045487
92389,Inyo County,5,2017,Residential,68127.0,0.068127
93513,Inyo County,5,2017,Residential,58123.0,0.058123
93514,Inyo County,5,2017,Residential,2163277.0,2.163277
93514,Inyo County,5,2017,Commercial,2019231.0,2.019231
93514,Inyo County,5,2017,Agricultural,1825348.0,1.825348
92328,Inyo County,5,2018,Residential,47973.0,0.047973
92389,Inyo County,5,2018,Residential,78904.0,0.078904
92389,Inyo County,5,2018,Commercial,160390.0,0.16039
93513,Inyo County,5,2018,Residential,119362.0,0.119362
93514,Inyo County,5,2018,Residential,2178362.0,2.178362
93514,Inyo County,5,2018,Commercial,1919137.0,1.919137
93514,Inyo County,5,2018,Agricultural,2389191.0,2.389191
92328,Inyo County,5,2019,Residential,54212.0,0.054212
92389,Inyo County,5,2019,Residential,63383.0,0.063383
93513,Inyo County,5,2019,Residential,117059.0,0.117059
93513,Inyo County,5,2019,Commercial,20438.0,0.020438
93514,Inyo County,5,2019,Residential,2179090.0,2.17909
93514,Inyo County,5,2019,Commercial,2001830.0,2.00183
93514,Inyo County,5,2019,Agricultural,1832465.0,1.832465
92328,Inyo County,5,2020,Residential,60622.0,0.060622
92389,Inyo County,5,2020,Residential,83598.0,0.083598
92389,Inyo County,5,2020,Commercial,132487.0,0.132487
93513,Inyo County,5,2020,Residential,141380.0,0.14138
93514,Inyo County,5,2020,Residential,2446782.0,2.446782
93514,Inyo County,5,2020,Commercial,2014186.0,2.014186
93514,Inyo County,5,2020,Agricultural,2136033.0,2.136033
92328,Inyo County,5,2021,Residential,42935.0,0.042935
92389,Inyo County,5,2021,Residential,80767.0,0.080767
93513,Inyo County,5,2021,Residential,121160.0,0.12116
93514,Inyo County,5,2021,Residential,1808164.0,1.808164
93514,Inyo County,5,2021,Commercial,1959677.0,1.959677
93514,Inyo County,5,2021,Agricultural,2366062.0,2.366062
92328,Inyo County,5,2022,Residential,33365.0,0.033365
92389,Inyo County,5,2022,Residential,81822.0,0.081822
93513,Inyo County,5,2022,Residential,171790.0,0.17179
93514,Inyo County,5,2022,Residential,1773249.0,1.773249
93514,Inyo County,5,2022,Commercial,2015135.0,2.015135
93514,Inyo County,5,2022,Agricultural,2638946.0,2.638946
