ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
93205,Kern County,1,2015,Residential,713626.0,0.713626
93215,Kern County,1,2015,Residential,5653336.0,5.653336
93215,Kern County,1,2015,Commercial,4239412.0,4.239412
93222,Kern County,1,2015,Residential,771854.0,0.771854
93225,Kern County,1,2015,Residential,1597884.0,1.597884
93226,Kern County,1,2015,Residential,135164.0,0.135164
93238,Kern County,1,2015,Residential,679056.0,0.679056
93238,Kern County,1,2015,Commercial,404874.0,0.404874
93240,Kern County,1,2015,Residential,2240272.0,2.240272
93240,Kern County,1,2015,Commercial,1191500.0,1.1915
93250,Kern County,1,2015,Residential,435331.0,0.435331
93250,Kern County,1,2015,Commercial,151664.0,0.151664
93255,Kern County,1,2015,Residential,215837.0,0.215837
93255,Kern County,1,2015,Commercial,18460.0,0.01846
93283,Kern County,1,2015,Residential,602311.0,0.602311
93285,Kern County,1,2015,Residential,1087910.0,1.08791
93285,Kern County,1,2015,Commercial,230863.0,0.230863
93501,Kern County,1,2015,Residential,1161429.0,1.161429
93501,Kern County,1,2015,Commercial,2924960.0,2.92496
93505,Kern County,1,2015,Residential,2864090.0,2.86409
93516,Kern County,1,2015,Residential,465062.0,0.465062
93518,Kern County,1,2015,Residential,393179.0,0.393179
93518,Kern County,1,2015,Commercial,61828.0,0.061828
93523,Kern County,1,2015,Residential,323503.0,0.323503
93527,Kern County,1,2015,Residential,673096.0,0.673096
93527,Kern County,1,2015,Commercial,436629.0,0.436629
93527,Kern County,1,2015,Agricultural,312137.0,0.312137
93528,Kern County,1,2015,Residential,55811.0,0.055811
93531,Kern County,1,2015,Residential,233713.0,0.233713
93554,Kern County,1,2015,Residential,37361.0,0.037361
93554,Kern County,1,2015,Commercial,150798.0,0.150798
93555,Kern County,1,2015,Residential,7252871.0,7.252871
93555,Kern County,1,2015,Commercial,3787316.0,3.787316
93560,Kern County,1,2015,Residential,3791315.0,3.791315
93560,Kern County,1,2015,Commercial,1983066.0,1.983066
93561,Kern County,1,2015,Residential,7335819.0,7.335819
93561,Kern County,1,2015,Commercial,3662105.0,3.662105
93205,Kern County,1,2016,Residential,779525.0,0.779525
93215,Kern County,1,2016,Residential,5821179.0,5.821179
93215,Kern County,1,2016,Commercial,4505482.0,4.505482
93222,Kern County,1,2016,Residential,824737.0,0.824737
93225,Kern County,1,2016,Residential,1702872.0,1.702872
93225,Kern County,1,2016,Commercial,514833.0,0.514833
93226,Kern County,1,2016,Residential,151860.0,0.15186
93226,Kern County,1,2016,Commercial,55599.0,0.055599
93238,Kern County,1,2016,Residential,712101.0,0.712101
93238,Kern County,1,2016,Commercial,442392.0,0.442392
93240,Kern County,1,2016,Residential,2362990.0,2.36299
93240,Kern County,1,2016,Commercial,1036178.0,1.036178
93250,Kern County,1,2016,Residential,507061.0,0.507061
93250,Kern County,1,2016,Commercial,158675.0,0.158675
93255,Kern County,1,2016,Residential,252684.0,0.252684
93255,Kern County,1,2016,Commercial,21280.0,0.02128
93283,Kern County,1,2016,Residential,655693.0,0.655693
93285,Kern County,1,2016,Residential,1137896.0,1.137896
93285,Kern County,1,2016,Commercial,236555.0,0.236555
93501,Kern County,1,2016,Residential,1280356.0,1.280356
93501,Kern County,1,2016,Commercial,3075114.0,3.075114
93505,Kern County,1,2016,Residential,3065602.0,3.065602
93505,Kern County,1,2016,Commercial,820324.0,0.820324
93516,Kern County,1,2016,Residential,505826.0,0.505826
93518,Kern County,1,2016,Residential,434435.0,0.434435
93518,Kern County,1,2016,Commercial,72947.0,0.072947
93523,Kern County,1,2016,Residential,344649.0,0.344649
93527,Kern County,1,2016,Residential,715411.0,0.715411
93527,Kern County,1,2016,Commercial,521709.0,0.521709
93528,Kern County,1,2016,Residential,56044.0,0.056044
93531,Kern County,1,2016,Residential,230897.0,0.230897
93554,Kern County,1,2016,Residential,41392.0,0.041392
93555,Kern County,1,2016,Residential,7391412.0,7.391412
93555,Kern County,1,2016,Commercial,3890427.0,3.890427
93560,Kern County,1,2016,Residential,4028301.0,4.028301
93560,Kern County,1,2016,Commercial,1584613.0,1.584613
93561,Kern County,1,2016,Residential,8167500.0,8.1675
93561,Kern County,1,2016,Commercial,3746280.0,3.74628
93205,Kern County,1,2017,Residential,800547.0,0.800547
93215,Kern County,1,2017,Residential,5712464.0,5.712464
93215,Kern County,1,2017,Commercial,4065278.0,4.065278
93222,Kern County,1,2017,Residential,769882.0,0.769882
93225,Kern County,1,2017,Residential,1525807.0,1.525807
93225,Kern County,1,2017,Commercial,581834.0,0.581834
93226,Kern County,1,2017,Residential,126869.0,0.126869
93226,Kern County,1,2017,Commercial,50509.0,0.050509
93238,Kern County,1,2017,Residential,649848.0,0.649848
93238,Kern County,1,2017,Commercial,422145.0,0.422145
93240,Kern County,1,2017,Residential,2028350.0,2.02835
93240,Kern County,1,2017,Commercial,779266.0,0.779266
93250,Kern County,1,2017,Residential,468857.0,0.468857
93250,Kern County,1,2017,Commercial,117413.0,0.117413
93255,Kern County,1,2017,Residential,195514.0,0.195514
93283,Kern County,1,2017,Residential,656205.0,0.656205
93285,Kern County,1,2017,Residential,1057445.0,1.057445
93285,Kern County,1,2017,Commercial,238982.0,0.238982
93501,Kern County,1,2017,Residential,1214500.0,1.2145
93501,Kern County,1,2017,Commercial,2787773.0,2.787773
93505,Kern County,1,2017,Residential,3036581.0,3.036581
93505,Kern County,1,2017,Commercial,774111.0,0.774111
93516,Kern County,1,2017,Residential,501392.0,0.501392
93518,Kern County,1,2017,Residential,400125.0,0.400125
93518,Kern County,1,2017,Commercial,63914.0,0.063914
93523,Kern County,1,2017,Residential,360656.0,0.360656
93527,Kern County,1,2017,Residential,739419.0,0.739419
93527,Kern County,1,2017,Commercial,454646.0,0.454646
93528,Kern County,1,2017,Residential,58606.0,0.058606
93531,Kern County,1,2017,Residential,222574.0,0.222574
93554,Kern County,1,2017,Commercial,36252.0,0.036252
93555,Kern County,1,2017,Residential,7226934.0,7.226934
93555,Kern County,1,2017,Commercial,3336563.0,3.336563
93560,Kern County,1,2017,Residential,3687163.0,3.687163
93560,Kern County,1,2017,Commercial,1469678.0,1.469678
93561,Kern County,1,2017,Residential,7281319.0,7.281319
93561,Kern County,1,2017,Commercial,2901637.0,2.901637
93205,Kern County,1,2018,Residential,688713.0,0.688713
93205,Kern County,1,2018,Agricultural,1644658.0,1.644658
93215,Kern County,1,2018,Residential,5516964.0,5.516964
93215,Kern County,1,2018,Commercial,4447414.0,4.447414
93215,Kern County,1,2018,Agricultural,6803290.0,6.80329
93222,Kern County,1,2018,Residential,802120.0,0.80212
93225,Kern County,1,2018,Residential,1511434.0,1.511434
93225,Kern County,1,2018,Commercial,559751.0,0.559751
93226,Kern County,1,2018,Residential,111760.0,0.11176
93226,Kern County,1,2018,Commercial,46400.0,0.0464
93226,Kern County,1,2018,Agricultural,283918.0,0.283918
93238,Kern County,1,2018,Residential,597946.0,0.597946
93238,Kern County,1,2018,Commercial,434079.0,0.434079
93240,Kern County,1,2018,Residential,1878539.0,1.878539
93240,Kern County,1,2018,Commercial,811689.0,0.811689
93250,Kern County,1,2018,Residential,508268.0,0.508268
93250,Kern County,1,2018,Commercial,151762.0,0.151762
93250,Kern County,1,2018,Agricultural,626126.0,0.626126
93255,Kern County,1,2018,Residential,224205.0,0.224205
93283,Kern County,1,2018,Residential,578078.0,0.578078
93285,Kern County,1,2018,Residential,955466.0,0.955466
93285,Kern County,1,2018,Commercial,218277.0,0.218277
93501,Kern County,1,2018,Residential,1151454.0,1.151454
93501,Kern County,1,2018,Commercial,2772115.0,2.772115
93505,Kern County,1,2018,Residential,2943882.0,2.943882
93505,Kern County,1,2018,Commercial,820231.0,0.820231
93516,Kern County,1,2018,Residential,518433.0,0.518433
93516,Kern County,1,2018,Commercial,479054.0,0.479054
93518,Kern County,1,2018,Residential,367040.0,0.36704
93518,Kern County,1,2018,Commercial,65615.0,0.065615
93523,Kern County,1,2018,Residential,348389.0,0.348389
93527,Kern County,1,2018,Residential,618525.0,0.618525
93527,Kern County,1,2018,Commercial,450950.0,0.45095
93527,Kern County,1,2018,Agricultural,366347.0,0.366347
93528,Kern County,1,2018,Residential,42826.0,0.042826
93531,Kern County,1,2018,Residential,197136.0,0.197136
93554,Kern County,1,2018,Residential,33574.0,0.033574
93554,Kern County,1,2018,Commercial,151403.0,0.151403
93555,Kern County,1,2018,Residential,6842730.0,6.84273
93555,Kern County,1,2018,Commercial,3417762.0,3.417762
93560,Kern County,1,2018,Residential,3849815.0,3.849815
93560,Kern County,1,2018,Commercial,1972325.0,1.972325
93561,Kern County,1,2018,Residential,7059752.0,7.059752
93561,Kern County,1,2018,Commercial,3165410.0,3.16541
93205,Kern County,1,2019,Residential,768331.0,0.768331
93215,Kern County,1,2019,Residential,5500533.0,5.500533
93215,Kern County,1,2019,Commercial,4430421.0,4.430421
93222,Kern County,1,2019,Residential,926691.0,0.926691
93225,Kern County,1,2019,Residential,1657701.0,1.657701
93225,Kern County,1,2019,Commercial,559696.0,0.559696
93226,Kern County,1,2019,Residential,122175.0,0.122175
93226,Kern County,1,2019,Commercial,56361.0,0.056361
93238,Kern County,1,2019,Residential,656508.0,0.656508
93238,Kern County,1,2019,Commercial,428019.0,0.428019
93240,Kern County,1,2019,Residential,2000680.0,2.00068
93240,Kern County,1,2019,Commercial,818759.0,0.818759
93250,Kern County,1,2019,Residential,478667.0,0.478667
93250,Kern County,1,2019,Commercial,130316.0,0.130316
93255,Kern County,1,2019,Residential,265098.0,0.265098
93283,Kern County,1,2019,Residential,649783.0,0.649783
93285,Kern County,1,2019,Residential,1080740.0,1.08074
93285,Kern County,1,2019,Commercial,229070.0,0.22907
93501,Kern County,1,2019,Residential,1205079.0,1.205079
93501,Kern County,1,2019,Commercial,2652967.0,2.652967
93505,Kern County,1,2019,Residential,2893246.0,2.893246
93505,Kern County,1,2019,Commercial,825543.0,0.825543
93516,Kern County,1,2019,Residential,540608.0,0.540608
93516,Kern County,1,2019,Commercial,511718.0,0.511718
93518,Kern County,1,2019,Residential,428882.0,0.428882
93518,Kern County,1,2019,Commercial,66718.0,0.066718
93523,Kern County,1,2019,Residential,362332.0,0.362332
93527,Kern County,1,2019,Residential,697957.0,0.697957
93527,Kern County,1,2019,Commercial,458965.0,0.458965
93528,Kern County,1,2019,Residential,48996.0,0.048996
93531,Kern County,1,2019,Residential,211869.0,0.211869
93554,Kern County,1,2019,Residential,37684.0,0.037684
93554,Kern County,1,2019,Commercial,37823.0,0.037823
93555,Kern County,1,2019,Residential,7026662.0,7.026662
93555,Kern County,1,2019,Commercial,3464471.0,3.464471
93560,Kern County,1,2019,Residential,4065016.0,4.065016
93560,Kern County,1,2019,Commercial,2185787.0,2.185787
93561,Kern County,1,2019,Residential,7675378.0,7.675378
93561,Kern County,1,2019,Commercial,3232418.0,3.232418
93205,Kern County,1,2020,Residential,773394.0,0.773394
93215,Kern County,1,2020,Residential,5533719.0,5.533719
93215,Kern County,1,2020,Commercial,4425022.0,4.425022
93222,Kern County,1,2020,Residential,923752.0,0.923752
93225,Kern County,1,2020,Residential,1714973.0,1.714973
93225,Kern County,1,2020,Commercial,656602.0,0.656602
93226,Kern County,1,2020,Residential,121638.0,0.121638
93226,Kern County,1,2020,Commercial,47499.0,0.047499
93238,Kern County,1,2020,Residential,662709.0,0.662709
93238,Kern County,1,2020,Commercial,433712.0,0.433712
93240,Kern County,1,2020,Residential,2091287.0,2.091287
93240,Kern County,1,2020,Commercial,818896.0,0.818896
93250,Kern County,1,2020,Residential,428447.0,0.428447
93250,Kern County,1,2020,Commercial,121298.0,0.121298
93255,Kern County,1,2020,Residential,251059.0,0.251059
93283,Kern County,1,2020,Residential,652657.0,0.652657
93285,Kern County,1,2020,Residential,1151250.0,1.15125
93285,Kern County,1,2020,Commercial,238776.0,0.238776
93501,Kern County,1,2020,Residential,1331181.0,1.331181
93501,Kern County,1,2020,Commercial,2797977.0,2.797977
93501,Kern County,1,2020,Industrial,48285774.0,48.285774
93505,Kern County,1,2020,Residential,2979736.0,2.979736
93505,Kern County,1,2020,Commercial,794402.0,0.794402
93516,Kern County,1,2020,Residential,527531.0,0.527531
93516,Kern County,1,2020,Commercial,495395.0,0.495395
93518,Kern County,1,2020,Residential,421188.0,0.421188
93518,Kern County,1,2020,Commercial,63141.0,0.063141
93523,Kern County,1,2020,Residential,376369.0,0.376369
93527,Kern County,1,2020,Residential,702807.0,0.702807
