ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
93202,Kings County,1,2015,Residential,588051.0,0.588051
93202,Kings County,1,2015,Commercial,139871.0,0.139871
93212,Kings County,1,2015,Agricultural,1715714.0,1.715714
93230,Kings County,1,2015,Residential,12618684.0,12.618684
93230,Kings County,1,2015,Commercial,8272566.0,8.272566
93230,Kings County,1,2015,Agricultural,4142985.0,4.142985
93202,Kings County,1,2016,Residential,633349.0,0.633349
93202,Kings County,1,2016,Commercial,149021.0,0.149021
93230,Kings County,1,2016,Residential,13030124.0,13.030124
93230,Kings County,1,2016,Commercial,8324032.0,8.324032
93230,Kings County,1,2016,Agricultural,15415600.0,15.4156
93202,Kings County,1,2017,Residential,630622.0,0.630622
93202,Kings County,1,2017,Commercial,179749.0,0.179749
93212,Kings County,1,2017,Commercial,47982.0,0.047982
93212,Kings County,1,2017,Agricultural,1937593.0,1.937593
93230,Kings County,1,2017,Residential,11460775.0,11.460775
93230,Kings County,1,2017,Commercial,7598886.0,7.598886
93230,Kings County,1,2017,Agricultural,4468886.0,4.468886
93202,Kings County,1,2018,Residential,627974.0,0.627974
93202,Kings County,1,2018,Commercial,185563.0,0.185563
93230,Kings County,1,2018,Residential,12683266.0,12.683266
93230,Kings County,1,2018,Commercial,7810790.0,7.81079
93230,Kings County,1,2018,Agricultural,5839404.0,5.839404
93202,Kings County,1,2019,Residential,622178.0,0.622178
93202,Kings County,1,2019,Commercial,182586.0,0.182586
93212,Kings County,1,2019,Agricultural,1954684.0,1.954684
93230,Kings County,1,2019,Residential,12548667.0,12.548667
93230,Kings County,1,2019,Commercial,7562320.0,7.56232
93230,Kings County,1,2019,Agricultural,4432164.0,4.432164
93202,Kings County,1,2020,Residential,584875.0,0.584875
93202,Kings County,1,2020,Commercial,153590.0,0.15359
93212,Kings County,1,2020,Commercial,44380.0,0.04438
93230,Kings County,1,2020,Residential,12630887.0,12.630887
93230,Kings County,1,2020,Commercial,7506867.0,7.506867
93230,Kings County,1,2020,Agricultural,3681513.0,3.681513
93202,Kings County,1,2021,Residential,675183.0,0.675183
93202,Kings County,1,2021,Commercial,174005.0,0.174005
93212,Kings County,1,2021,Agricultural,1485751.0,1.485751
93230,Kings County,1,2021,Residential,13434662.0,13.434662
93230,Kings County,1,2021,Commercial,7573652.0,7.573652
93230,Kings County,1,2021,Agricultural,5085682.0,5.085682
93202,Kings County,1,2022,Residential,842244.0,0.842244
93202,Kings County,1,2022,Commercial,219837.0,0.219837
93230,Kings County,1,2022,Residential,12979246.0,12.979246
93230,Kings County,1,2022,Commercial,7550870.0,7.55087
93230,Kings County,1,2022,Agricultural,4175909.0,4.175909
