ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
90001,Los Angeles County,1,2015,Residential,3872318.0,3.872318
90001,Los Angeles County,1,2015,Commercial,4278310.0,4.27831
90002,Los Angeles County,1,2015,Residential,1440786.0,1.440786
90002,Los Angeles County,1,2015,Commercial,505206.0,0.505206
90008,Los Angeles County,1,2015,Residential,439343.0,0.439343
90022,Los Angeles County,1,2015,Residential,6359881.0,6.359881
90022,Los Angeles County,1,2015,Commercial,7985073.0,7.985073
90023,Los Angeles County,1,2015,Residential,1400379.0,1.400379
90023,Los Angeles County,1,2015,Commercial,1809710.0,1.80971
90034,Los Angeles County,1,2015,Residential,39464.0,0.039464
90038,Los Angeles County,1,2015,Residential,74036.0,0.074036
90040,Los Angeles County,1,2015,Residential,1320037.0,1.320037
90040,Los Angeles County,1,2015,Commercial,19380282.0,19.380282
90040,Los Angeles County,1,2015,Agricultural,1110468.0,1.110468
90040,Los Angeles County,1,2015,Industrial,28678855.0,28.678855
90043,Los Angeles County,1,2015,Residential,2129344.0,2.129344
90044,Los Angeles County,1,2015,Residential,2816033.0,2.816033
90044,Los Angeles County,1,2015,Commercial,1388353.0,1.388353
90045,Los Angeles County,1,2015,Residential,117543.0,0.117543
90045,Los Angeles County,1,2015,Commercial,410779.0,0.410779
90046,Los Angeles County,1,2015,Residential,3228321.0,3.228321
90046,Los Angeles County,1,2015,Commercial,2625572.0,2.625572
90047,Los Angeles County,1,2015,Residential,2049464.0,2.049464
90048,Los Angeles County,1,2015,Residential,920055.0,0.920055
90048,Los Angeles County,1,2015,Commercial,2047603.0,2.047603
90056,Los Angeles County,1,2015,Residential,2293082.0,2.293082
90056,Los Angeles County,1,2015,Commercial,1449980.0,1.44998
90059,Los Angeles County,1,2015,Residential,1717519.0,1.717519
90059,Los Angeles County,1,2015,Commercial,1915153.0,1.915153
90061,Los Angeles County,1,2015,Residential,1322839.0,1.322839
90061,Los Angeles County,1,2015,Commercial,2688741.0,2.688741
90063,Los Angeles County,1,2015,Residential,3749538.0,3.749538
90063,Los Angeles County,1,2015,Commercial,3357857.0,3.357857
90066,Los Angeles County,1,2015,Residential,814518.0,0.814518
90069,Los Angeles County,1,2015,Residential,3884119.0,3.884119
90069,Los Angeles County,1,2015,Commercial,10388391.0,10.388391
90201,Los Angeles County,1,2015,Residential,8459980.0,8.45998
90201,Los Angeles County,1,2015,Commercial,10967706.0,10.967706
90201,Los Angeles County,1,2015,Agricultural,698325.0,0.698325
90210,Los Angeles County,1,2015,Residential,9265643.0,9.265643
90210,Los Angeles County,1,2015,Commercial,9805639.0,9.805639
90211,Los Angeles County,1,2015,Residential,1947179.0,1.947179
90211,Los Angeles County,1,2015,Commercial,4178430.0,4.17843
90212,Los Angeles County,1,2015,Residential,2976385.0,2.976385
90212,Los Angeles County,1,2015,Commercial,4748094.0,4.748094
90220,Los Angeles County,1,2015,Residential,5988622.0,5.988622
90220,Los Angeles County,1,2015,Commercial,12233747.0,12.233747
90221,Los Angeles County,1,2015,Residential,5820211.0,5.820211
90221,Los Angeles County,1,2015,Commercial,8059189.0,8.059189
90222,Los Angeles County,1,2015,Residential,3449405.0,3.449405
90222,Los Angeles County,1,2015,Commercial,2558786.0,2.558786
90230,Los Angeles County,1,2015,Residential,4236719.0,4.236719
90230,Los Angeles County,1,2015,Commercial,8311091.0,8.311091
90232,Los Angeles County,1,2015,Residential,2518360.0,2.51836
90232,Los Angeles County,1,2015,Commercial,8408511.0,8.408511
90240,Los Angeles County,1,2015,Residential,4484464.0,4.484464
90240,Los Angeles County,1,2015,Commercial,2221632.0,2.221632
90241,Los Angeles County,1,2015,Residential,6326058.0,6.326058
90241,Los Angeles County,1,2015,Commercial,8686364.0,8.686364
90242,Los Angeles County,1,2015,Residential,5319057.0,5.319057
90242,Los Angeles County,1,2015,Commercial,4492169.0,4.492169
90245,Los Angeles County,1,2015,Residential,3319258.0,3.319258
90245,Los Angeles County,1,2015,Commercial,13406942.0,13.406942
90245,Los Angeles County,1,2015,Agricultural,1917035.0,1.917035
90245,Los Angeles County,1,2015,Industrial,133270694.0,133.270694
90247,Los Angeles County,1,2015,Residential,4903535.0,4.903535
90247,Los Angeles County,1,2015,Commercial,5989556.0,5.989556
90248,Los Angeles County,1,2015,Residential,782866.0,0.782866
90248,Los Angeles County,1,2015,Commercial,9726081.0,9.726081
90248,Los Angeles County,1,2015,Industrial,3324411.0,3.324411
90249,Los Angeles County,1,2015,Residential,3819225.0,3.819225
90249,Los Angeles County,1,2015,Commercial,6436293.0,6.436293
90250,Los Angeles County,1,2015,Residential,11132365.0,11.132365
90250,Los Angeles County,1,2015,Commercial,13280504.0,13.280504
90254,Los Angeles County,1,2015,Residential,4464559.0,4.464559
90254,Los Angeles County,1,2015,Commercial,3102674.0,3.102674
90255,Los Angeles County,1,2015,Residential,6431310.0,6.43131
90255,Los Angeles County,1,2015,Commercial,9641466.0,9.641466
90255,Los Angeles County,1,2015,Agricultural,1805546.0,1.805546
90260,Los Angeles County,1,2015,Residential,4028023.0,4.028023
90260,Los Angeles County,1,2015,Commercial,3121114.0,3.121114
90262,Los Angeles County,1,2015,Residential,6616810.0,6.61681
90262,Los Angeles County,1,2015,Commercial,7588097.0,7.588097
90262,Los Angeles County,1,2015,Industrial,17376582.0,17.376582
90265,Los Angeles County,1,2015,Residential,9616526.0,9.616526
90265,Los Angeles County,1,2015,Commercial,4326736.0,4.326736
90266,Los Angeles County,1,2015,Residential,9893940.0,9.89394
