ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
93512,Mono County,1,2015,Residential,66924.0,0.066924
93512,Mono County,1,2015,Commercial,23786.0,0.023786
93517,Mono County,1,2015,Residential,248613.0,0.248613
93517,Mono County,1,2015,Commercial,825840.0,0.82584
93529,Mono County,1,2015,Residential,441114.0,0.441114
93541,Mono County,1,2015,Residential,117400.0,0.1174
93541,Mono County,1,2015,Commercial,177511.0,0.177511
93546,Mono County,1,2015,Residential,9266914.0,9.266914
93546,Mono County,1,2015,Commercial,4829029.0,4.829029
93512,Mono County,1,2016,Residential,76237.0,0.076237
93512,Mono County,1,2016,Commercial,30870.0,0.03087
93517,Mono County,1,2016,Residential,271015.0,0.271015
93517,Mono County,1,2016,Commercial,857967.0,0.857967
93517,Mono County,1,2016,Agricultural,721747.0,0.721747
93529,Mono County,1,2016,Residential,527942.0,0.527942
93529,Mono County,1,2016,Commercial,370849.0,0.370849
93541,Mono County,1,2016,Residential,131930.0,0.13193
93541,Mono County,1,2016,Commercial,203288.0,0.203288
93546,Mono County,1,2016,Residential,11186997.0,11.186997
93546,Mono County,1,2016,Commercial,5301958.0,5.301958
93546,Mono County,1,2016,Agricultural,1737225.0,1.737225
93512,Mono County,1,2017,Residential,75571.0,0.075571
93512,Mono County,1,2017,Commercial,31999.0,0.031999
93517,Mono County,1,2017,Residential,270596.0,0.270596
93517,Mono County,1,2017,Commercial,843853.0,0.843853
93529,Mono County,1,2017,Residential,519961.0,0.519961
93529,Mono County,1,2017,Commercial,371723.0,0.371723
93529,Mono County,1,2017,Agricultural,279325.0,0.279325
93541,Mono County,1,2017,Residential,118895.0,0.118895
93541,Mono County,1,2017,Commercial,182149.0,0.182149
93546,Mono County,1,2017,Residential,10091842.0,10.091842
93546,Mono County,1,2017,Commercial,4737472.0,4.737472
93512,Mono County,1,2018,Residential,60566.0,0.060566
93517,Mono County,1,2018,Residential,255360.0,0.25536
93517,Mono County,1,2018,Commercial,331652.0,0.331652
93529,Mono County,1,2018,Residential,411263.0,0.411263
93529,Mono County,1,2018,Commercial,328415.0,0.328415
93541,Mono County,1,2018,Residential,111293.0,0.111293
93541,Mono County,1,2018,Commercial,185828.0,0.185828
93546,Mono County,1,2018,Residential,8633212.0,8.633212
93546,Mono County,1,2018,Commercial,4342622.0,4.342622
93512,Mono County,1,2019,Residential,61759.0,0.061759
93517,Mono County,1,2019,Residential,282608.0,0.282608
93517,Mono County,1,2019,Commercial,348191.0,0.348191
93529,Mono County,1,2019,Residential,490016.0,0.490016
93529,Mono County,1,2019,Commercial,316278.0,0.316278
93541,Mono County,1,2019,Residential,130727.0,0.130727
93541,Mono County,1,2019,Commercial,196023.0,0.196023
93546,Mono County,1,2019,Residential,10231894.0,10.231894
93546,Mono County,1,2019,Commercial,4803917.0,4.803917
93512,Mono County,1,2020,Residential,66995.0,0.066995
93517,Mono County,1,2020,Residential,266044.0,0.266044
93517,Mono County,1,2020,Commercial,334672.0,0.334672
93529,Mono County,1,2020,Residential,458618.0,0.458618
93529,Mono County,1,2020,Commercial,339165.0,0.339165
93541,Mono County,1,2020,Residential,125535.0,0.125535
93541,Mono County,1,2020,Commercial,190113.0,0.190113
93546,Mono County,1,2020,Residential,10204636.0,10.204636
93546,Mono County,1,2020,Commercial,4915175.0,4.915175
93512,Mono County,1,2021,Residential,71342.0,0.071342
93517,Mono County,1,2021,Residential,294111.0,0.294111
93517,Mono County,1,2021,Commercial,358431.0,0.358431
93529,Mono County,1,2021,Residential,461695.0,0.461695
