ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
90620,Orange County,1,2015,Residential,6974967.0,6.974967
90620,Orange County,1,2015,Commercial,8772105.0,8.772105
90621,Orange County,1,2015,Residential,4897033.0,4.897033
90621,Orange County,1,2015,Commercial,6312373.0,6.312373
90623,Orange County,1,2015,Residential,2847987.0,2.847987
90623,Orange County,1,2015,Commercial,2607487.0,2.607487
90630,Orange County,1,2015,Residential,9089525.0,9.089525
90630,Orange County,1,2015,Commercial,10195557.0,10.195557
90631,Orange County,1,2015,Residential,11374630.0,11.37463
90631,Orange County,1,2015,Commercial,7737608.0,7.737608
90631,Orange County,1,2015,Agricultural,1362987.0,1.362987
90680,Orange County,1,2015,Residential,3911663.0,3.911663
90680,Orange County,1,2015,Commercial,4533770.0,4.53377
90720,Orange County,1,2015,Residential,5075856.0,5.075856
90720,Orange County,1,2015,Commercial,5442694.0,5.442694
90720,Orange County,1,2015,Agricultural,683347.0,0.683347
90740,Orange County,1,2015,Residential,7155243.0,7.155243
90740,Orange County,1,2015,Commercial,5613594.0,5.613594
90742,Orange County,1,2015,Residential,319720.0,0.31972
90742,Orange County,1,2015,Commercial,222903.0,0.222903
90743,Orange County,1,2015,Residential,137749.0,0.137749
92602,Orange County,1,2015,Residential,3720597.0,3.720597
92602,Orange County,1,2015,Commercial,4755270.0,4.75527
92603,Orange County,1,2015,Residential,5165820.0,5.16582
92603,Orange County,1,2015,Commercial,1288400.0,1.2884
92604,Orange County,1,2015,Residential,4764842.0,4.764842
92604,Orange County,1,2015,Commercial,5023530.0,5.02353
92606,Orange County,1,2015,Residential,3375907.0,3.375907
92606,Orange County,1,2015,Commercial,9033597.0,9.033597
92610,Orange County,1,2015,Residential,2173132.0,2.173132
92610,Orange County,1,2015,Commercial,4303367.0,4.303367
92610,Orange County,1,2015,Agricultural,399167.0,0.399167
92612,Orange County,1,2015,Residential,4721206.0,4.721206
92612,Orange County,1,2015,Commercial,9298716.0,9.298716
92612,Orange County,1,2015,Industrial,45560917.0,45.560917
92614,Orange County,1,2015,Residential,4149805.0,4.149805
92614,Orange County,1,2015,Commercial,13410426.0,13.410426
92614,Orange County,1,2015,Industrial,24373644.0,24.373644
92617,Orange County,1,2015,Residential,1150045.0,1.150045
92617,Orange County,1,2015,Commercial,2693104.0,2.693104
92618,Orange County,1,2015,Residential,5005678.0,5.005678
92618,Orange County,1,2015,Commercial,31407416.0,31.407416
92618,Orange County,1,2015,Industrial,19931209.0,19.931209
92620,Orange County,1,2015,Residential,8750700.0,8.7507
92620,Orange County,1,2015,Commercial,3549170.0,3.54917
92625,Orange County,1,2015,Residential,4775686.0,4.775686
92625,Orange County,1,2015,Commercial,1989635.0,1.989635
92626,Orange County,1,2015,Residential,9272305.0,9.272305
92626,Orange County,1,2015,Commercial,22348390.0,22.34839
92626,Orange County,1,2015,Agricultural,1637530.0,1.63753
92626,Orange County,1,2015,Industrial,16444693.0,16.444693
92627,Orange County,1,2015,Residential,9373139.0,9.373139
92627,Orange County,1,2015,Commercial,9743695.0,9.743695
92630,Orange County,1,2015,Residential,11337866.0,11.337866
92630,Orange County,1,2015,Commercial,13229033.0,13.229033
92630,Orange County,1,2015,Industrial,5234509.0,5.234509
92637,Orange County,1,2015,Residential,7919648.0,7.919648
92637,Orange County,1,2015,Commercial,2150344.0,2.150344
92646,Orange County,1,2015,Residential,12047797.0,12.047797
92646,Orange County,1,2015,Commercial,4371782.0,4.371782
92647,Orange County,1,2015,Residential,10073807.0,10.073807
92647,Orange County,1,2015,Commercial,11035116.0,11.035116
92648,Orange County,1,2015,Residential,9951849.0,9.951849
92648,Orange County,1,2015,Commercial,8118670.0,8.11867
92649,Orange County,1,2015,Residential,8230658.0,8.230658
92649,Orange County,1,2015,Commercial,8069719.0,8.069719
92651,Orange County,1,2015,Residential,7270928.0,7.270928
92651,Orange County,1,2015,Commercial,4094974.0,4.094974
92653,Orange County,1,2015,Residential,2396280.0,2.39628
92653,Orange County,1,2015,Commercial,6560321.0,6.560321
92655,Orange County,1,2015,Residential,1141218.0,1.141218
92655,Orange County,1,2015,Commercial,354534.0,0.354534
92656,Orange County,1,2015,Residential,8656629.0,8.656629
92656,Orange County,1,2015,Commercial,6490823.0,6.490823
92656,Orange County,1,2015,Agricultural,1671326.0,1.671326
92657,Orange County,1,2015,Residential,5510472.0,5.510472
92657,Orange County,1,2015,Commercial,1612751.0,1.612751
92660,Orange County,1,2015,Residential,11482900.0,11.4829
92660,Orange County,1,2015,Commercial,15198459.0,15.198459
92661,Orange County,1,2015,Residential,1301075.0,1.301075
92662,Orange County,1,2015,Residential,979595.0,0.979595
92662,Orange County,1,2015,Commercial,730147.0,0.730147
92663,Orange County,1,2015,Residential,6217000.0,6.217
92663,Orange County,1,2015,Commercial,5827117.0,5.827117
92663,Orange County,1,2015,Agricultural,349359.0,0.349359
92676,Orange County,1,2015,Residential,669478.0,0.669478
92676,Orange County,1,2015,Commercial,273222.0,0.273222
92677,Orange County,1,2015,Residential,2701251.0,2.701251
92677,Orange County,1,2015,Commercial,2255110.0,2.25511
92678,Orange County,1,2015,Residential,205105.0,0.205105
92679,Orange County,1,2015,Residential,6254557.0,6.254557
92683,Orange County,1,2015,Residential,13857401.0,13.857401
92683,Orange County,1,2015,Commercial,14043495.0,14.043495
92688,Orange County,1,2015,Residential,6849633.0,6.849633
92688,Orange County,1,2015,Commercial,6723916.0,6.723916
92688,Orange County,1,2015,Agricultural,1870738.0,1.870738
92688,Orange County,1,2015,Industrial,66648579.0,66.648579
92691,Orange County,1,2015,Residential,7864734.0,7.864734
92691,Orange County,1,2015,Commercial,4365315.0,4.365315
92692,Orange County,1,2015,Residential,6209225.0,6.209225
92692,Orange County,1,2015,Commercial,1428168.0,1.428168
92701,Orange County,1,2015,Residential,4268535.0,4.268535
92701,Orange County,1,2015,Commercial,8602185.0,8.602185
92703,Orange County,1,2015,Residential,6111000.0,6.111
92703,Orange County,1,2015,Commercial,4564672.0,4.564672
92704,Orange County,1,2015,Residential,9173548.0,9.173548
92704,Orange County,1,2015,Commercial,16003915.0,16.003915
92704,Orange County,1,2015,Industrial,14097253.0,14.097253
92705,Orange County,1,2015,Residential,10344537.0,10.344537
92705,Orange County,1,2015,Commercial,20027839.0,20.027839
92705,Orange County,1,2015,Agricultural,1977828.0,1.977828
92705,Orange County,1,2015,Industrial,10947405.0,10.947405
92706,Orange County,1,2015,Residential,4653724.0,4.653724
92706,Orange County,1,2015,Commercial,3680047.0,3.680047
92707,Orange County,1,2015,Residential,6403220.0,6.40322
92707,Orange County,1,2015,Commercial,7753542.0,7.753542
92708,Orange County,1,2015,Residential,10935279.0,10.935279
92708,Orange County,1,2015,Commercial,11030526.0,11.030526
92715,Orange County,1,2015,Residential,54978.0,0.054978
92717,Orange County,1,2015,Commercial,895206.0,0.895206
92780,Orange County,1,2015,Residential,8689367.0,8.689367
92780,Orange County,1,2015,Commercial,14159697.0,14.159697
92780,Orange County,1,2015,Agricultural,1862272.0,1.862272
92782,Orange County,1,2015,Residential,5362728.0,5.362728
92782,Orange County,1,2015,Commercial,4835715.0,4.835715
92804,Orange County,1,2015,Residential,2216005.0,2.216005
92804,Orange County,1,2015,Commercial,852412.0,0.852412
92807,Orange County,1,2015,Residential,65992.0,0.065992
92821,Orange County,1,2015,Residential,7417008.0,7.417008
