ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
91752,Riverside County,1,2015,Residential,4963281.0,4.963281
91752,Riverside County,1,2015,Commercial,8793113.0,8.793113
91752,Riverside County,1,2015,Agricultural,1297229.0,1.297229
92210,Riverside County,1,2015,Residential,5709384.0,5.709384
92210,Riverside County,1,2015,Commercial,2528103.0,2.528103
92210,Riverside County,1,2015,Agricultural,2004424.0,2.004424
92211,Riverside County,1,2015,Residential,7073782.0,7.073782
92211,Riverside County,1,2015,Commercial,5126021.0,5.126021
92211,Riverside County,1,2015,Agricultural,796632.0,0.796632
92220,Riverside County,1,2015,Residential,694501.0,0.694501
92223,Riverside County,1,2015,Residential,9954841.0,9.954841
92223,Riverside County,1,2015,Commercial,4537652.0,4.537652
92225,Riverside County,1,2015,Residential,3672678.0,3.672678
92225,Riverside County,1,2015,Commercial,3099390.0,3.09939
92225,Riverside County,1,2015,Industrial,9515021.0,9.515021
92230,Riverside County,1,2015,Residential,472873.0,0.472873
92230,Riverside County,1,2015,Commercial,1693384.0,1.693384
92234,Riverside County,1,2015,Residential,11486239.0,11.486239
92234,Riverside County,1,2015,Commercial,6866432.0,6.866432
92239,Riverside County,1,2015,Residential,96835.0,0.096835
92239,Riverside County,1,2015,Commercial,78406.0,0.078406
92240,Riverside County,1,2015,Residential,7253969.0,7.253969
92240,Riverside County,1,2015,Commercial,3133709.0,3.133709
92241,Riverside County,1,2015,Residential,1874797.0,1.874797
92258,Riverside County,1,2015,Residential,119167.0,0.119167
92260,Riverside County,1,2015,Residential,12318751.0,12.318751
92260,Riverside County,1,2015,Commercial,13458978.0,13.458978
92260,Riverside County,1,2015,Agricultural,9322819.0,9.322819
92262,Riverside County,1,2015,Residential,10180664.0,10.180664
92262,Riverside County,1,2015,Commercial,8971676.0,8.971676
92264,Riverside County,1,2015,Residential,8640492.0,8.640492
92264,Riverside County,1,2015,Commercial,6447945.0,6.447945
92264,Riverside County,1,2015,Agricultural,1772602.0,1.772602
92270,Riverside County,1,2015,Residential,10990922.0,10.990922
92270,Riverside County,1,2015,Commercial,7840047.0,7.840047
92270,Riverside County,1,2015,Agricultural,1497544.0,1.497544
92282,Riverside County,1,2015,Residential,407245.0,0.407245
92320,Riverside County,1,2015,Residential,2122529.0,2.122529
92320,Riverside County,1,2015,Commercial,1542478.0,1.542478
