ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
91701,San Bernardino County,1,2015,Residential,8003051.0,8.003051
91701,San Bernardino County,1,2015,Commercial,2281466.0,2.281466
91708,San Bernardino County,1,2015,Residential,1016137.0,1.016137
91708,San Bernardino County,1,2015,Commercial,1671260.0,1.67126
91709,San Bernardino County,1,2015,Residential,13755247.0,13.755247
91709,San Bernardino County,1,2015,Commercial,7289714.0,7.289714
91710,San Bernardino County,1,2015,Residential,13334769.0,13.334769
91710,San Bernardino County,1,2015,Commercial,19833729.0,19.833729
91730,San Bernardino County,1,2015,Residential,11181851.0,11.181851
91730,San Bernardino County,1,2015,Commercial,22139318.0,22.139318
91730,San Bernardino County,1,2015,Industrial,44908499.0,44.908499
91737,San Bernardino County,1,2015,Residential,5722164.0,5.722164
91737,San Bernardino County,1,2015,Commercial,1196643.0,1.196643
91737,San Bernardino County,1,2015,Agricultural,1468748.0,1.468748
91739,San Bernardino County,1,2015,Residential,7402291.0,7.402291
91739,San Bernardino County,1,2015,Commercial,2283076.0,2.283076
91759,San Bernardino County,1,2015,Residential,191614.0,0.191614
91759,San Bernardino County,1,2015,Commercial,150058.0,0.150058
91761,San Bernardino County,1,2015,Residential,8447964.0,8.447964
91761,San Bernardino County,1,2015,Commercial,32348593.0,32.348593
91761,San Bernardino County,1,2015,Agricultural,1006885.0,1.006885
91761,San Bernardino County,1,2015,Industrial,157348237.0,157.348237
91762,San Bernardino County,1,2015,Residential,8568078.0,8.568078
91762,San Bernardino County,1,2015,Commercial,7232708.0,7.232708
91762,San Bernardino County,1,2015,Agricultural,807173.0,0.807173
91763,San Bernardino County,1,2015,Residential,5179093.0,5.179093
91763,San Bernardino County,1,2015,Commercial,6687566.0,6.687566
91764,San Bernardino County,1,2015,Residential,7091300.0,7.0913
91764,San Bernardino County,1,2015,Commercial,11095280.0,11.09528
91784,San Bernardino County,1,2015,Residential,7409525.0,7.409525
91784,San Bernardino County,1,2015,Commercial,2204170.0,2.20417
91786,San Bernardino County,1,2015,Residential,9197604.0,9.197604
91786,San Bernardino County,1,2015,Commercial,10088313.0,10.088313
91786,San Bernardino County,1,2015,Agricultural,2193015.0,2.193015
92252,San Bernardino County,1,2015,Residential,3057480.0,3.05748
92252,San Bernardino County,1,2015,Commercial,1400988.0,1.400988
92256,San Bernardino County,1,2015,Residential,1340659.0,1.340659
92256,San Bernardino County,1,2015,Commercial,157299.0,0.157299
92267,San Bernardino County,1,2015,Residential,180629.0,0.180629
92268,San Bernardino County,1,2015,Residential,239150.0,0.23915
92277,San Bernardino County,1,2015,Residential,4657332.0,4.657332
92277,San Bernardino County,1,2015,Commercial,2022828.0,2.022828
92280,San Bernardino County,1,2015,Commercial,44125.0,0.044125
92284,San Bernardino County,1,2015,Residential,7784852.0,7.784852
92284,San Bernardino County,1,2015,Commercial,3648466.0,3.648466
92284,San Bernardino County,1,2015,Agricultural,551104.0,0.551104
92285,San Bernardino County,1,2015,Residential,802692.0,0.802692
92301,San Bernardino County,1,2015,Residential,4884436.0,4.884436
92301,San Bernardino County,1,2015,Commercial,3434321.0,3.434321
92305,San Bernardino County,1,2015,Residential,194924.0,0.194924
92307,San Bernardino County,1,2015,Residential,9511912.0,9.511912
92307,San Bernardino County,1,2015,Commercial,3588880.0,3.58888
92307,San Bernardino County,1,2015,Industrial,29275566.0,29.275566
92308,San Bernardino County,1,2015,Residential,9561678.0,9.561678
92308,San Bernardino County,1,2015,Commercial,4001298.0,4.001298
92308,San Bernardino County,1,2015,Agricultural,1494605.0,1.494605
92309,San Bernardino County,1,2015,Residential,216412.0,0.216412
92309,San Bernardino County,1,2015,Commercial,780096.0,0.780096
92311,San Bernardino County,1,2015,Residential,5843213.0,5.843213
92311,San Bernardino County,1,2015,Commercial,6178577.0,6.178577
92313,San Bernardino County,1,2015,Residential,2299178.0,2.299178
92313,San Bernardino County,1,2015,Commercial,1029000.0,1.029
92316,San Bernardino County,1,2015,Residential,3430160.0,3.43016
92316,San Bernardino County,1,2015,Commercial,1888860.0,1.88886
92317,San Bernardino County,1,2015,Residential,141017.0,0.141017
92321,San Bernardino County,1,2015,Residential,173499.0,0.173499
92321,San Bernardino County,1,2015,Commercial,84198.0,0.084198
92322,San Bernardino County,1,2015,Residential,291250.0,0.29125
92324,San Bernardino County,1,2015,Residential,894516.0,0.894516
92324,San Bernardino County,1,2015,Commercial,602568.0,0.602568
92325,San Bernardino County,1,2015,Residential,2698753.0,2.698753
92325,San Bernardino County,1,2015,Commercial,696108.0,0.696108
92327,San Bernardino County,1,2015,Residential,144809.0,0.144809
92335,San Bernardino County,1,2015,Residential,11752331.0,11.752331
92335,San Bernardino County,1,2015,Commercial,13954804.0,13.954804
92336,San Bernardino County,1,2015,Residential,14391943.0,14.391943
92336,San Bernardino County,1,2015,Commercial,6792490.0,6.79249
92336,San Bernardino County,1,2015,Agricultural,1259371.0,1.259371
92337,San Bernardino County,1,2015,Residential,5151942.0,5.151942
92337,San Bernardino County,1,2015,Commercial,9502233.0,9.502233
92339,San Bernardino County,1,2015,Residential,362174.0,0.362174
92341,San Bernardino County,1,2015,Residential,218517.0,0.218517
92342,San Bernardino County,1,2015,Residential,1702810.0,1.70281
92342,San Bernardino County,1,2015,Commercial,769900.0,0.7699
92344,San Bernardino County,1,2015,Residential,3960789.0,3.960789
92344,San Bernardino County,1,2015,Commercial,992870.0,0.99287
92345,San Bernardino County,1,2015,Residential,15487866.0,15.487866
92345,San Bernardino County,1,2015,Commercial,8027921.0,8.027921
92345,San Bernardino County,1,2015,Agricultural,1950456.0,1.950456
92346,San Bernardino County,1,2015,Residential,9615461.0,9.615461
92346,San Bernardino County,1,2015,Commercial,3864408.0,3.864408
92347,San Bernardino County,1,2015,Residential,260562.0,0.260562
92352,San Bernardino County,1,2015,Residential,4392103.0,4.392103
92352,San Bernardino County,1,2015,Commercial,1599782.0,1.599782
92352,San Bernardino County,1,2015,Agricultural,1124661.0,1.124661
92354,San Bernardino County,1,2015,Residential,3799364.0,3.799364
92354,San Bernardino County,1,2015,Commercial,3414442.0,3.414442
92356,San Bernardino County,1,2015,Residential,1858358.0,1.858358
92356,San Bernardino County,1,2015,Agricultural,90532.0,0.090532
92357,San Bernardino County,1,2015,Commercial,583997.0,0.583997
92358,San Bernardino County,1,2015,Residential,310675.0,0.310675
92359,San Bernardino County,1,2015,Residential,1837596.0,1.837596
92359,San Bernardino County,1,2015,Commercial,783130.0,0.78313
92363,San Bernardino County,1,2015,Residential,334248.0,0.334248
92365,San Bernardino County,1,2015,Residential,895331.0,0.895331
92365,San Bernardino County,1,2015,Commercial,699820.0,0.69982
92368,San Bernardino County,1,2015,Residential,221944.0,0.221944
92371,San Bernardino County,1,2015,Residential,5445857.0,5.445857
92371,San Bernardino County,1,2015,Agricultural,700471.0,0.700471
92372,San Bernardino County,1,2015,Residential,1362285.0,1.362285
92373,San Bernardino County,1,2015,Residential,8452373.0,8.452373
92373,San Bernardino County,1,2015,Commercial,9528060.0,9.52806
92374,San Bernardino County,1,2015,Residential,7743443.0,7.743443
92374,San Bernardino County,1,2015,Commercial,8709282.0,8.709282
92374,San Bernardino County,1,2015,Agricultural,897752.0,0.897752
