ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
93013,Santa Barbara County,1,2015,Residential,3407942.0,3.407942
93013,Santa Barbara County,1,2015,Commercial,3993698.0,3.993698
93013,Santa Barbara County,1,2015,Agricultural,2398433.0,2.398433
93067,Santa Barbara County,1,2015,Residential,312060.0,0.31206
93101,Santa Barbara County,1,2015,Residential,4144888.0,4.144888
93101,Santa Barbara County,1,2015,Commercial,10085964.0,10.085964
93103,Santa Barbara County,1,2015,Residential,3338322.0,3.338322
93103,Santa Barbara County,1,2015,Commercial,3166871.0,3.166871
93105,Santa Barbara County,1,2015,Residential,5270077.0,5.270077
93105,Santa Barbara County,1,2015,Commercial,6008190.0,6.00819
93108,Santa Barbara County,1,2015,Residential,6009123.0,6.009123
93108,Santa Barbara County,1,2015,Commercial,2133593.0,2.133593
93108,Santa Barbara County,1,2015,Agricultural,697347.0,0.697347
93109,Santa Barbara County,1,2015,Residential,2453754.0,2.453754
93109,Santa Barbara County,1,2015,Commercial,1124779.0,1.124779
93110,Santa Barbara County,1,2015,Residential,3809132.0,3.809132
93110,Santa Barbara County,1,2015,Commercial,1508233.0,1.508233
93111,Santa Barbara County,1,2015,Residential,3770013.0,3.770013
93111,Santa Barbara County,1,2015,Commercial,3411506.0,3.411506
93117,Santa Barbara County,1,2015,Residential,6401112.0,6.401112
93117,Santa Barbara County,1,2015,Commercial,11775535.0,11.775535
93214,Santa Barbara County,1,2015,Commercial,64652.0,0.064652
93013,Santa Barbara County,1,2016,Residential,3505031.0,3.505031
93013,Santa Barbara County,1,2016,Commercial,4035514.0,4.035514
93013,Santa Barbara County,1,2016,Agricultural,1445228.0,1.445228
93067,Santa Barbara County,1,2016,Residential,308810.0,0.30881
93101,Santa Barbara County,1,2016,Residential,4465927.0,4.465927
93101,Santa Barbara County,1,2016,Commercial,9944638.0,9.944638
93103,Santa Barbara County,1,2016,Residential,3452354.0,3.452354
93103,Santa Barbara County,1,2016,Commercial,3176387.0,3.176387
93105,Santa Barbara County,1,2016,Residential,5582182.0,5.582182
93105,Santa Barbara County,1,2016,Commercial,5638795.0,5.638795
93108,Santa Barbara County,1,2016,Residential,6178826.0,6.178826
93108,Santa Barbara County,1,2016,Commercial,1965961.0,1.965961
93108,Santa Barbara County,1,2016,Agricultural,850095.0,0.850095
93109,Santa Barbara County,1,2016,Residential,2533335.0,2.533335
