ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
93207,Tulare County,1,2015,Residential,123904.0,0.123904
93207,Tulare County,1,2015,Commercial,64787.0,0.064787
93208,Tulare County,1,2015,Residential,125562.0,0.125562
93218,Tulare County,1,2015,Residential,226018.0,0.226018
93219,Tulare County,1,2015,Residential,1061926.0,1.061926
93219,Tulare County,1,2015,Commercial,656610.0,0.65661
93221,Tulare County,1,2015,Residential,3474972.0,3.474972
93221,Tulare County,1,2015,Commercial,1766015.0,1.766015
93221,Tulare County,1,2015,Agricultural,10162337.0,10.162337
93223,Tulare County,1,2015,Residential,1366097.0,1.366097
93223,Tulare County,1,2015,Commercial,792534.0,0.792534
93227,Tulare County,1,2015,Residential,285208.0,0.285208
93227,Tulare County,1,2015,Commercial,728948.0,0.728948
93227,Tulare County,1,2015,Industrial,44025365.0,44.025365
93235,Tulare County,1,2015,Residential,707258.0,0.707258
93235,Tulare County,1,2015,Commercial,191538.0,0.191538
93244,Tulare County,1,2015,Residential,221135.0,0.221135
93244,Tulare County,1,2015,Commercial,364570.0,0.36457
93247,Tulare County,1,2015,Residential,2842623.0,2.842623
93247,Tulare County,1,2015,Commercial,1813921.0,1.813921
93247,Tulare County,1,2015,Agricultural,3725598.0,3.725598
93256,Tulare County,1,2015,Residential,886929.0,0.886929
93256,Tulare County,1,2015,Commercial,471173.0,0.471173
93256,Tulare County,1,2015,Agricultural,3655831.0,3.655831
93257,Tulare County,1,2015,Residential,13454691.0,13.454691
93257,Tulare County,1,2015,Commercial,8062111.0,8.062111
93257,Tulare County,1,2015,Agricultural,3160420.0,3.16042
93260,Tulare County,1,2015,Residential,165490.0,0.16549
93261,Tulare County,1,2015,Residential,326394.0,0.326394
93261,Tulare County,1,2015,Commercial,269338.0,0.269338
93262,Tulare County,1,2015,Residential,41631.0,0.041631
93265,Tulare County,1,2015,Residential,1384985.0,1.384985
93265,Tulare County,1,2015,Commercial,566571.0,0.566571
93267,Tulare County,1,2015,Residential,1165134.0,1.165134
93267,Tulare County,1,2015,Commercial,424546.0,0.424546
93267,Tulare County,1,2015,Agricultural,1829718.0,1.829718
93270,Tulare County,1,2015,Residential,1146762.0,1.146762
93271,Tulare County,1,2015,Residential,1012751.0,1.012751
93272,Tulare County,1,2015,Residential,627701.0,0.627701
93272,Tulare County,1,2015,Commercial,1512793.0,1.512793
93272,Tulare County,1,2015,Agricultural,7039058.0,7.039058
93274,Tulare County,1,2015,Residential,13078661.0,13.078661
93274,Tulare County,1,2015,Commercial,8315137.0,8.315137
93274,Tulare County,1,2015,Agricultural,9365876.0,9.365876
93277,Tulare County,1,2015,Residential,11845846.0,11.845846
93277,Tulare County,1,2015,Commercial,9512183.0,9.512183
93277,Tulare County,1,2015,Agricultural,2881264.0,2.881264
93286,Tulare County,1,2015,Residential,1423869.0,1.423869
93286,Tulare County,1,2015,Commercial,887579.0,0.887579
93291,Tulare County,1,2015,Residential,10348462.0,10.348462
93291,Tulare County,1,2015,Commercial,9692433.0,9.692433
93291,Tulare County,1,2015,Agricultural,2915958.0,2.915958
93292,Tulare County,1,2015,Residential,8705816.0,8.705816
93292,Tulare County,1,2015,Commercial,3276305.0,3.276305
93292,Tulare County,1,2015,Agricultural,894660.0,0.89466
93670,Tulare County,1,2015,Residential,875020.0,0.87502
93670,Tulare County,1,2015,Commercial,1072275.0,1.072275
93670,Tulare County,1,2015,Agricultural,1672152.0,1.672152
93207,Tulare County,1,2016,Residential,139051.0,0.139051
93207,Tulare County,1,2016,Commercial,60650.0,0.06065
93208,Tulare County,1,2016,Residential,128981.0,0.128981
93218,Tulare County,1,2016,Residential,240002.0,0.240002
93219,Tulare County,1,2016,Residential,1185247.0,1.185247
93219,Tulare County,1,2016,Commercial,658536.0,0.658536
93221,Tulare County,1,2016,Residential,3664566.0,3.664566
93221,Tulare County,1,2016,Commercial,1809424.0,1.809424
93221,Tulare County,1,2016,Industrial,45130235.0,45.130235
93223,Tulare County,1,2016,Residential,1471989.0,1.471989
93223,Tulare County,1,2016,Commercial,789713.0,0.789713
93227,Tulare County,1,2016,Residential,319075.0,0.319075
93235,Tulare County,1,2016,Residential,750483.0,0.750483
93235,Tulare County,1,2016,Commercial,197042.0,0.197042
93244,Tulare County,1,2016,Residential,265866.0,0.265866
93247,Tulare County,1,2016,Residential,2982862.0,2.982862
93247,Tulare County,1,2016,Commercial,2232892.0,2.232892
93247,Tulare County,1,2016,Agricultural,3482246.0,3.482246
93256,Tulare County,1,2016,Residential,968744.0,0.968744
93256,Tulare County,1,2016,Commercial,501033.0,0.501033
93256,Tulare County,1,2016,Agricultural,3752962.0,3.752962
93257,Tulare County,1,2016,Residential,14170982.0,14.170982
93257,Tulare County,1,2016,Commercial,7937950.0,7.93795
93257,Tulare County,1,2016,Agricultural,2793540.0,2.79354
93260,Tulare County,1,2016,Residential,171258.0,0.171258
93261,Tulare County,1,2016,Residential,330569.0,0.330569
93261,Tulare County,1,2016,Commercial,201390.0,0.20139
93262,Tulare County,1,2016,Residential,76036.0,0.076036
93265,Tulare County,1,2016,Residential,1508075.0,1.508075
93265,Tulare County,1,2016,Commercial,603051.0,0.603051
93265,Tulare County,1,2016,Agricultural,677958.0,0.677958
93267,Tulare County,1,2016,Residential,1214373.0,1.214373
93267,Tulare County,1,2016,Commercial,420075.0,0.420075
93270,Tulare County,1,2016,Residential,1206031.0,1.206031
93270,Tulare County,1,2016,Agricultural,2750022.0,2.750022
93271,Tulare County,1,2016,Residential,1057664.0,1.057664
93271,Tulare County,1,2016,Commercial,1158525.0,1.158525
93271,Tulare County,1,2016,Agricultural,18305.0,0.018305
93272,Tulare County,1,2016,Residential,616700.0,0.6167
93272,Tulare County,1,2016,Commercial,392045.0,0.392045
93272,Tulare County,1,2016,Agricultural,5379686.0,5.379686
93274,Tulare County,1,2016,Residential,13581490.0,13.58149
93274,Tulare County,1,2016,Commercial,8306033.0,8.306033
93274,Tulare County,1,2016,Agricultural,9463232.0,9.463232
93277,Tulare County,1,2016,Residential,12039652.0,12.039652
93277,Tulare County,1,2016,Commercial,9584539.0,9.584539
93277,Tulare County,1,2016,Agricultural,2475514.0,2.475514
93286,Tulare County,1,2016,Residential,1448614.0,1.448614
93286,Tulare County,1,2016,Commercial,972476.0,0.972476
93291,Tulare County,1,2016,Residential,10856239.0,10.856239
93291,Tulare County,1,2016,Commercial,9855693.0,9.855693
93291,Tulare County,1,2016,Agricultural,2802688.0,2.802688
93291,Tulare County,1,2016,Industrial,72435073.0,72.435073
93292,Tulare County,1,2016,Residential,8810209.0,8.810209
93292,Tulare County,1,2016,Commercial,3435960.0,3.43596
