ZipCode,County,Month,Year,CustomerClass,TotalkWh,TotalGWh
91320,Ventura County,1,2015,Residential,10188020.0,10.18802
91320,Ventura County,1,2015,Commercial,7476972.0,7.476972
91360,Ventura County,1,2015,Residential,9910258.0,9.910258
91360,Ventura County,1,2015,Commercial,7898338.0,7.898338
91361,Ventura County,1,2015,Residential,7851439.0,7.851439
91361,Ventura County,1,2015,Commercial,6468189.0,6.468189
91362,Ventura County,1,2015,Residential,9966092.0,9.966092
91362,Ventura County,1,2015,Commercial,9547887.0,9.547887
91362,Ventura County,1,2015,Agricultural,514626.0,0.514626
91377,Ventura County,1,2015,Residential,3238785.0,3.238785
91377,Ventura County,1,2015,Commercial,489328.0,0.489328
93001,Ventura County,1,2015,Residential,5316580.0,5.31658
93001,Ventura County,1,2015,Commercial,6440955.0,6.440955
93003,Ventura County,1,2015,Residential,8480666.0,8.480666
93003,Ventura County,1,2015,Commercial,15583269.0,15.583269
93003,Ventura County,1,2015,Agricultural,1309509.0,1.309509
93004,Ventura County,1,2015,Residential,5117744.0,5.117744
93004,Ventura County,1,2015,Commercial,1787603.0,1.787603
93010,Ventura County,1,2015,Residential,9290451.0,9.290451
93010,Ventura County,1,2015,Commercial,9147896.0,9.147896
93010,Ventura County,1,2015,Agricultural,1291295.0,1.291295
93012,Ventura County,1,2015,Residential,9167336.0,9.167336
93012,Ventura County,1,2015,Commercial,7755059.0,7.755059
93015,Ventura County,1,2015,Residential,2702815.0,2.702815
93015,Ventura County,1,2015,Commercial,2171934.0,2.171934
93015,Ventura County,1,2015,Agricultural,1934680.0,1.93468
93021,Ventura County,1,2015,Residential,7641044.0,7.641044
93021,Ventura County,1,2015,Commercial,5209746.0,5.209746
93022,Ventura County,1,2015,Residential,1407083.0,1.407083
93022,Ventura County,1,2015,Commercial,319807.0,0.319807
93022,Ventura County,1,2015,Agricultural,1211909.0,1.211909
93023,Ventura County,1,2015,Residential,5387597.0,5.387597
93023,Ventura County,1,2015,Commercial,2624920.0,2.62492
93030,Ventura County,1,2015,Residential,6694259.0,6.694259
93030,Ventura County,1,2015,Commercial,12176472.0,12.176472
93030,Ventura County,1,2015,Agricultural,4290769.0,4.290769
93033,Ventura County,1,2015,Residential,7470678.0,7.470678
93033,Ventura County,1,2015,Commercial,6612734.0,6.612734
93033,Ventura County,1,2015,Agricultural,1626856.0,1.626856
93035,Ventura County,1,2015,Residential,5209079.0,5.209079
93035,Ventura County,1,2015,Commercial,2082739.0,2.082739
93036,Ventura County,1,2015,Residential,5729973.0,5.729973
93036,Ventura County,1,2015,Commercial,9874163.0,9.874163
93040,Ventura County,1,2015,Residential,281220.0,0.28122
93040,Ventura County,1,2015,Commercial,318030.0,0.31803
93041,Ventura County,1,2015,Residential,3033392.0,3.033392
93041,Ventura County,1,2015,Commercial,2047550.0,2.04755
93060,Ventura County,1,2015,Residential,4742572.0,4.742572
93060,Ventura County,1,2015,Commercial,4408430.0,4.40843
93060,Ventura County,1,2015,Agricultural,3149051.0,3.149051
93063,Ventura County,1,2015,Residential,11471579.0,11.471579
93063,Ventura County,1,2015,Commercial,6076094.0,6.076094
93063,Ventura County,1,2015,Industrial,86720033.0,86.720033
93065,Ventura County,1,2015,Residential,15267501.0,15.267501
93065,Ventura County,1,2015,Commercial,13151444.0,13.151444
93065,Ventura County,1,2015,Agricultural,500368.0,0.500368
93066,Ventura County,1,2015,Residential,911871.0,0.911871
93066,Ventura County,1,2015,Agricultural,909949.0,0.909949
